GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
1. Energy,527796.8256472688,912.5411855234728,11.7130449073548,,,,,,2084.516617959434,5068.063169104862,1214.410135212758,1677.23005975122,1998,Sector
2.  Industrial processes and product use,40664.82431251041,7.44560923854176,51.21829114700328,15373.822893074397,435.31214191674064,"NO,NE",0.05789710508732,2.567045771e-05,34.01206102068488,613.5577043142648,689.5958952020744,80.6734813805699,1998,Sector
