GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2 (kt),CH4,N2O,HFCs (1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
3.  Agriculture,1312.915065421947,1172.9264618307725,62.92123886438919,,,,,,44.62385404001178,191.23846463425443,119.06686810928694,1.30183363981021,1990,Sector
"4.  Land use, land-use change and forestry  (4)",3671.103523583243,198.97047038452743,7.20830433478355,,,,,,0.85579978391276,18.76391414835045,NO,NO,1990,Sector
5.  Waste,1445.1711054254847,2508.3689637134266,3.2836697786173,,,,,,6.73635357389768,37.6293114946466,18.93838598210195,7.730869915973,1990,Sector
6.  Other   (please specify)(6),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1990,Sector
