GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
1. Energy,393879.784168174,306.3086194036188,8.48806159270164,,,,,,970.0881009371091,1247.404465589603,234.4705590673908,246.3261680225674,2015,Sector
2.  Industrial processes and product use,28209.289972096725,3.35925533039012,2.87991358919633,13349.290500012065,257.22316213203703,NO,0.01778316379032,2.096730672e-05,17.49821103293621,287.555678784458,458.4069329565112,22.74353094225597,2015,Sector
