GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
Memo items:(7),,,,,,,,,,,,,2005,Sector
International bunkers,43570.54914575791,0.26731245229533,1.52132899514195,,,,,,380.69256129563144,31.62616147857537,10.48263971107775,129.46850096122805,2005,Sector
Multilateral operations,NE,NE,NE,,,,,,NE,NE,NE,NE,2005,Sector
CO2 emissions from biomass,11700.535646935177,,,,,,,,,,,,2005,Sector
CO2 captured,NO,,,,,,,,,,,,2005,Sector
Long-term storage of C in waste disposal sites,NE,,,,,,,,,,,,2005,Sector
Indirect N2O,,,8.78587418272325,,,,,,,,,,2005,Sector
Indirect CO2,"NO,NE",,,,,,,,,,,,2005,Sector
