GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,41968.0522530034,86.86608194689445,1.05518157566745,,,,Summary1.As1,HUNGARY,2020,Sector
2.  Industrial processes and product use,5102.30253245779,1.96998389925814,0.88473542017154,1848.6851459037287,1.64311250263407,0.00472065526233,Summary1.As1,HUNGARY,2020,Sector
