GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
2.  Industrial processes and product use,30319.639452665306,5.21360768406689,2.93340495673303,13176.893651548758,274.1761522509474,0.02019341537578,Summary1.As1,GBR,2013,Sector
1. Energy,408165.494681147,323.29178780062085,8.41133248346801,,,,Summary1.As1,GBR,2014,Sector
2.  Industrial processes and product use,30180.1959719624,5.07755215305834,3.00564614677622,13343.159754723689,219.2113751137656,0.01864851157775,Summary1.As1,GBR,2014,Sector
1. Energy,393879.784168174,306.3086194036188,8.48806159270164,,,,Summary1.As1,GBR,2015,Sector
2.  Industrial processes and product use,28209.289972096725,3.35925533039012,2.87991358919633,13349.290500012065,257.22316213203703,0.01778316379032,Summary1.As1,GBR,2015,Sector
1. Energy,375956.3334537399,267.5684148820002,7.97942301700532,,,,Summary1.As1,GBR,2016,Sector
2.  Industrial processes and product use,22988.30675371613,3.70016644719673,2.91422849892715,13359.726126137775,267.2317828235167,0.01907751794551,Summary1.As1,GBR,2016,Sector
1. Energy,363817.8322614321,264.9203513317465,7.9441087124557,,,,Summary1.As1,GBR,2017,Sector
2.  Industrial processes and product use,23010.664638579565,3.26213617261481,3.01497098481555,13267.85990324142,386.9175695624334,0.01930961810709,Summary1.As1,GBR,2017,Sector
1. Energy,357387.2862083253,264.62209748398834,8.0622542140013,,,,Summary1.As1,GBR,2018,Sector
2.  Industrial processes and product use,21593.61456331843,2.49357550725442,2.94661755758381,12950.550048104113,134.94397124161105,0.0236165500735,Summary1.As1,GBR,2018,Sector
1. Energy,343406.46181272925,255.9547731868476,7.95155826730183,,,,Summary1.As1,GBR,2019,Sector
2.  Industrial processes and product use,21788.280982000782,3.39210151592931,3.0387149052973,12333.145978974677,200.8581765675987,0.02085786004888,Summary1.As1,GBR,2019,Sector
1. Energy,304342.55097109143,236.7511444534617,7.2666925019615,,,,Summary1.As1,GBR,2020,Sector
2.  Industrial processes and product use,21161.572902241584,3.23009522848678,2.71843737855726,11525.463795236754,151.13515733409065,0.01788369025218,Summary1.As1,GBR,2020,Sector
1. Energy,326511.76114692504,230.26855347012855,7.57899512253192,,,,Summary1.As1,GBR,2021,Sector
2.  Industrial processes and product use,20131.738578163506,2.08975826988951,2.64813305860004,10819.710287153594,192.87758176493475,0.01794968163969,Summary1.As1,GBR,2021,Sector
3.  Agriculture,1312.915065421947,1172.9264618307725,62.92123886438919,,,,Summary1.As2,GBR,1990,Sector
"4.  Land use, land-use change and forestry  (4)",3671.103523583243,198.97047038452743,7.20830433478355,,,,Summary1.As2,GBR,1990,Sector
5.  Waste,1445.1711054254847,2508.368963713426,3.2836697786173,,,,Summary1.As2,GBR,1990,Sector
3.  Agriculture,1389.6220400746072,1157.9974090478331,62.97354595791011,,,,Summary1.As2,GBR,1991,Sector
"4.  Land use, land-use change and forestry  (4)",3183.095061353885,198.7648820573357,7.15096975757703,,,,Summary1.As2,GBR,1991,Sector
5.  Waste,1413.9562295202718,2533.9213916161984,3.31037496310122,,,,Summary1.As2,GBR,1991,Sector
3.  Agriculture,1256.3574723310055,1164.6136234693122,60.95224997161547,,,,Summary1.As2,GBR,1992,Sector
"4.  Land use, land-use change and forestry  (4)",2374.4276213895605,198.31694951960333,7.06894699115106,,,,Summary1.As2,GBR,1992,Sector
5.  Waste,1408.0338995909156,2539.285596165915,3.46097799976552,,,,Summary1.As2,GBR,1992,Sector
3.  Agriculture,1109.19082472245,1162.470598135969,59.41626776781218,,,,Summary1.As2,GBR,1993,Sector
"4.  Land use, land-use change and forestry  (4)",1813.7736674374844,198.1551354702636,6.99454560768628,,,,Summary1.As2,GBR,1993,Sector
5.  Waste,1357.3670305573405,2561.8922034546567,3.50481161548283,,,,Summary1.As2,GBR,1993,Sector
3.  Agriculture,1112.3078198511855,1167.9954749871033,61.46111013501815,,,,Summary1.As2,GBR,1994,Sector
"4.  Land use, land-use change and forestry  (4)",1427.8593689810348,197.84947075569613,6.92214208076699,,,,Summary1.As2,GBR,1994,Sector
5.  Waste,1163.283836442643,2583.721209193771,3.55290797548022,,,,Summary1.As2,GBR,1994,Sector
3.  Agriculture,1093.2274909132848,1159.731679920137,61.58462754924615,,,,Summary1.As2,GBR,1995,Sector
"4.  Land use, land-use change and forestry  (4)",1447.5452364683065,198.2170685091936,6.87091222859905,,,,Summary1.As2,GBR,1995,Sector
5.  Waste,1130.1359570419413,2626.220293526916,3.63852317979151,,,,Summary1.As2,GBR,1995,Sector
3.  Agriculture,1195.2641083318638,1181.5527555243875,62.65555277955896,,,,Summary1.As2,GBR,1996,Sector
"4.  Land use, land-use change and forestry  (4)",477.1863477679066,197.66351128784328,6.74716244705503,,,,Summary1.As2,GBR,1996,Sector
5.  Waste,1137.1148666002075,2635.5697451162005,3.7673696937774,,,,Summary1.As2,GBR,1996,Sector
3.  Agriculture,1053.4498246604091,1173.2121091677154,63.49466448610236,,,,Summary1.As2,GBR,1997,Sector
"4.  Land use, land-use change and forestry  (4)",-62.95978519572293,197.613116820238,6.70474258980002,,,,Summary1.As2,GBR,1997,Sector
5.  Waste,730.1345457801694,2631.7328176889914,3.81431996263382,,,,Summary1.As2,GBR,1997,Sector
3.  Agriculture,986.7518717568744,1176.7034605179344,62.4856611440181,,,,Summary1.As2,GBR,1998,Sector
"4.  Land use, land-use change and forestry  (4)",-815.3711766353647,197.18831870558944,6.57579459039552,,,,Summary1.As2,GBR,1998,Sector
5.  Waste,734.118553929963,2587.9950037190024,3.95283236716829,,,,Summary1.As2,GBR,1998,Sector
3.  Agriculture,930.6023778262796,1171.087387353348,62.59854726931179,,,,Summary1.As2,GBR,1999,Sector
"4.  Land use, land-use change and forestry  (4)",-647.7010574525444,196.81064816629672,6.44261699698693,,,,Summary1.As2,GBR,1999,Sector
5.  Waste,683.7176300660886,2474.727537118951,3.9574142829742,,,,Summary1.As2,GBR,1999,Sector
