GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1)
2.  Oil and natural gas and other emissions from energy production,0.001352862,0.0332663061,,,Summary1.As1,MONACCO,1994,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.05153862178176,1.80945367e-05,2.40931952e-06,,Summary1.As1,MONACCO,1994,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MONACCO,1994,Subsector,1. Energy,0.3731735725067,
A. Fuel combustion     Reference approach(2),99.54417083439228,,,,Summary1.As1,MONACCO,1995,Subsector,1. Energy,,
                                           Sectoral approach(2),100.8549598151109,0.01421962192026,0.00762604141179,,Summary1.As1,MONACCO,1995,Subsector,1. Energy,,
1.  Energy industries,21.48227776495273,5.566651168e-05,0.00429626622688,,Summary1.As1,MONACCO,1995,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,3.55869043564384,0.00015776600589,0.00098726087551,,Summary1.As1,MONACCO,1995,Subsector,1. Energy,,
3.  Transport,41.90410953590952,0.01359164058405,0.00198851393152,,Summary1.As1,MONACCO,1995,Subsector,1. Energy,,
4.  Other sectors,33.90988207860481,0.00041454881864,0.00035400037788,,Summary1.As1,MONACCO,1995,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.000792862,0.0274985061,,,Summary1.As1,MONACCO,1995,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.000792862,0.0274985061,,,Summary1.As1,MONACCO,1995,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.05056819242287,1.751390741e-05,2.37041792e-06,,Summary1.As1,MONACCO,1995,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MONACCO,1995,Subsector,1. Energy,0.42518024593717,
A. Fuel combustion     Reference approach(2),103.12138189368504,,,,Summary1.As1,MONACCO,1996,Subsector,1. Energy,,
                                           Sectoral approach(2),104.35105656935994,0.01399886272233,0.00790032431492,,Summary1.As1,MONACCO,1996,Subsector,1. Energy,,
1.  Energy industries,23.08640475000365,5.919593133e-05,0.00455259708375,,Summary1.As1,MONACCO,1996,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,3.55850494158125,0.00015765188209,0.00098712901599,,Summary1.As1,MONACCO,1996,Subsector,1. Energy,,
3.  Transport,41.68619041212602,0.01333323012749,0.0019923345196,,Summary1.As1,MONACCO,1996,Subsector,1. Energy,,
4.  Other sectors,36.01995646564902,0.00044878478142,0.00036826369558,,Summary1.As1,MONACCO,1996,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.000804592,0.027733602,,,Summary1.As1,MONACCO,1996,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.000804592,0.027733602,,,Summary1.As1,MONACCO,1996,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.05116549353985,1.737405909e-05,2.40893612e-06,,Summary1.As1,MONACCO,1996,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MONACCO,1996,Subsector,1. Energy,0.58154778661486,
A. Fuel combustion     Reference approach(2),101.71793052183914,,,,Summary1.As1,MONACCO,1997,Subsector,1. Energy,,
                                           Sectoral approach(2),102.84981170132444,0.01315309777183,0.00830971646985,,Summary1.As1,MONACCO,1997,Subsector,1. Energy,,
1.  Energy industries,26.02939851353567,6.170210952e-05,0.00507099944757,,Summary1.As1,MONACCO,1997,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,3.51151955113036,0.0001569295906,0.00098642481119,,Summary1.As1,MONACCO,1997,Subsector,1. Energy,,
3.  Transport,39.74026789200774,0.01251568276357,0.00190659567019,,Summary1.As1,MONACCO,1997,Subsector,1. Energy,,
4.  Other sectors,33.56862574465066,0.00041878330814,0.0003456965409,,Summary1.As1,MONACCO,1997,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.000804592,0.027733602,,,Summary1.As1,MONACCO,1997,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.000804592,0.027733602,,,Summary1.As1,MONACCO,1997,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.04874266929852,1.635832876e-05,2.29763518e-06,,Summary1.As1,MONACCO,1997,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MONACCO,1997,Subsector,1. Energy,0.73779668451782,
A. Fuel combustion     Reference approach(2),100.61715919020492,,,,Summary1.As1,MONACCO,1998,Subsector,1. Energy,,
                                           Sectoral approach(2),101.67119033668976,0.01266270022862,0.0080445586793,,Summary1.As1,MONACCO,1998,Subsector,1. Energy,,
1.  Energy industries,24.49624040022118,6.136575523e-05,0.00484429636871,,Summary1.As1,MONACCO,1998,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,3.55320412328683,0.00015760209104,0.00098708633794,,Summary1.As1,MONACCO,1998,Subsector,1. Energy,,
3.  Transport,38.44639484607167,0.01200528347148,0.00185148996183,,Summary1.As1,MONACCO,1998,Subsector,1. Energy,,
4.  Other sectors,35.17535096711008,0.00043844891087,0.00036168601082,,Summary1.As1,MONACCO,1998,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.000804592,0.027733602,,,Summary1.As1,MONACCO,1998,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.000804592,0.027733602,,,Summary1.As1,MONACCO,1998,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.04837071362515,1.601652274e-05,2.2894087e-06,,Summary1.As1,MONACCO,1998,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MONACCO,1998,Subsector,1. Energy,1.05475285353583,
A. Fuel combustion     Reference approach(2),101.31004443736394,,,,Summary1.As1,MONACCO,1999,Subsector,1. Energy,,
                                           Sectoral approach(2),102.38393970664464,0.0128391774936,0.00800309727192,,Summary1.As1,MONACCO,1999,Subsector,1. Energy,,
1.  Energy industries,24.93875989421096,5.825945462e-05,0.00477805508798,,Summary1.As1,MONACCO,1999,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,3.59435423953372,0.00015836220676,0.00098785274774,,Summary1.As1,MONACCO,1999,Subsector,1. Energy,,
3.  Transport,38.89726700503467,0.01217954759729,0.0018732639001,,Summary1.As1,MONACCO,1999,Subsector,1. Energy,,
4.  Other sectors,34.95355856786529,0.00044300823493,0.0003639255361,,Summary1.As1,MONACCO,1999,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.000804592,0.027733602,,,Summary1.As1,MONACCO,1999,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.000804592,0.027733602,,,Summary1.As1,MONACCO,1999,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.04971942358407,1.647127963e-05,2.35602238e-06,,Summary1.As1,MONACCO,1999,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MONACCO,1999,Subsector,1. Energy,1.29513794771932,
A. Fuel combustion     Reference approach(2),98.89176907783086,,,,Summary1.As1,MONACCO,2000,Subsector,1. Energy,,
                                           Sectoral approach(2),99.93832919390084,0.0120347058121,0.00812101934186,,Summary1.As1,MONACCO,2000,Subsector,1. Energy,,
1.  Energy industries,25.64774598161312,6.042147056e-05,0.00498182800196,,Summary1.As1,MONACCO,2000,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,3.66435255095617,0.00015973559651,0.00098924693836,,Summary1.As1,MONACCO,2000,Subsector,1. Energy,,
3.  Transport,37.26711863096542,0.01138431976039,0.00179019881489,,Summary1.As1,MONACCO,2000,Subsector,1. Energy,,
4.  Other sectors,33.35911203036613,0.00043022898464,0.00035974558665,,Summary1.As1,MONACCO,2000,Subsector,1. Energy,,
