GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),PFCs(1)
1. Energy,76.35994493757168,0.02969847263393,0.0064461226023,,Summary1.As1,MONACCO,2010,Sector,,
2.  Industrial processes and product use,0.03559264860851,8.17033551e-06,0.00567153905201,3.80761749e-06,Summary1.As1,MONACCO,2010,Sector,5.88135623950686,0.03003966
1. Energy,74.49260111515687,0.02973690590099,0.0063184005555,,Summary1.As1,MONACCO,2011,Sector,,
2.  Industrial processes and product use,0.0396527449283,8.6613774e-06,0.00545171636995,3.810385e-06,Summary1.As1,MONACCO,2011,Sector,6.5163454110894,0.03003966
1. Energy,77.5978572991798,0.0299386457239,0.00624434181267,,Summary1.As1,MONACCO,2012,Sector,,
2.  Industrial processes and product use,0.04457448100959,9.32901769e-06,0.00540693251094,3.82282716e-06,Summary1.As1,MONACCO,2012,Sector,6.1542047331265,
1. Energy,78.35706894126491,0.02967768117862,0.00674716417066,,Summary1.As1,MONACCO,2013,Sector,,
2.  Industrial processes and product use,0.04548957460898,9.35896798e-06,0.00514098621446,3.78857791e-06,Summary1.As1,MONACCO,2013,Sector,7.26308847617979,0.030611844
1. Energy,73.50739508781902,0.02870834094504,0.00666030381591,,Summary1.As1,MONACCO,2014,Sector,,
2.  Industrial processes and product use,0.04435603405827,8.85400673e-06,0.00391335502079,3.82834241e-06,Summary1.As1,MONACCO,2014,Sector,6.53590513435144,0.0095364
1. Energy,75.76574409158268,0.02831086308647,0.0076100387224,,Summary1.As1,MONACCO,2015,Sector,,
2.  Industrial processes and product use,0.0426822709956,8.32173308e-06,0.00305471874432,3.84067136e-06,Summary1.As1,MONACCO,2015,Sector,7.28940689378718,
1. Energy,74.2806497129807,0.02815695185567,0.00761797832992,,Summary1.As1,MONACCO,2016,Sector,,
2.  Industrial processes and product use,0.04335420794775,8.23181026e-06,0.00225821274404,4.95976554e-06,Summary1.As1,MONACCO,2016,Sector,7.23132557551563,0.01001322
1. Energy,72.69821633681171,0.02763796287399,0.00700177727191,,Summary1.As1,MONACCO,2017,Sector,,
2.  Industrial processes and product use,0.0458344774632,8.48067252e-06,0.00119993598967,4.96736e-06,Summary1.As1,MONACCO,2017,Sector,6.2009739024228,0.009894015
1. Energy,74.39163781524132,0.0277709471703,0.00784911827334,,Summary1.As1,MONACCO,2018,Sector,,
2.  Industrial processes and product use,0.04871184127499,8.98788936e-06,0.00097119983468,5.44214291e-06,Summary1.As1,MONACCO,2018,Sector,7.62579342220342,0.000357615
1. Energy,71.0733989503406,0.02728304965044,0.00714252549072,,Summary1.As1,MONACCO,2019,Sector,,
2.  Industrial processes and product use,0.04690452841473,8.84958946e-06,0.00095327644937,5.42266136e-06,Summary1.As1,MONACCO,2019,Sector,7.7720225714799,0.000357615
1. Energy,60.48745951364958,0.02572549424885,0.00667181774737,,Summary1.As1,MONACCO,2020,Sector,,
2.  Industrial processes and product use,0.04000187833392,7.16186701e-06,0.00093851415,5.42809519e-06,Summary1.As1,MONACCO,2020,Sector,5.63628839312667,
