GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
A.  Enteric fermentation,,82.0544802333735,,Summary1.As2,FINLAND,2009,Subsector,3.  Agriculture
B.  Manure management,,18.62360186240066,0.89387708708993,Summary1.As2,FINLAND,2009,Subsector,3.  Agriculture
D.  Agricultural soils,,,11.11096125204731,Summary1.As2,FINLAND,2009,Subsector,3.  Agriculture
F.  Field burning of agricultural residues,,0.08314326,0.00215557,Summary1.As2,FINLAND,2009,Subsector,3.  Agriculture
G. Liming,338.26766233333336,,,Summary1.As2,FINLAND,2009,Subsector,3.  Agriculture
H. Urea application,1.44662528031222,,,Summary1.As2,FINLAND,2009,Subsector,3.  Agriculture
A. Forest land (4),-54218.19333333338,38.594158,6.682345,Summary1.As2,FINLAND,2009,Subsector,3.  Agriculture
B. Cropland (4),7431.994166666674,,0.025,Summary1.As2,FINLAND,2009,Subsector,3.  Agriculture
C. Grassland (4),847.2834233333341,0.001566,0.003542,Summary1.As2,FINLAND,2009,Subsector,3.  Agriculture
