GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,Unspecified mix of HFCs and PFCs(1)
B.  Chemical industry,2393.914842,2.39817194,21.10888088462368,379.64,875.8865168512101,0.005,Summary1.As1,ITALY,1992,Subsector,2.  Industrial processes and product use,
C.  Metal industry,3922.942107267989,2.434949080062,,,759.1254365542848,,Summary1.As1,ITALY,1992,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,1682.8954453235558,,,,,,Summary1.As1,ITALY,1992,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,46.8060337222222,,,Summary1.As1,ITALY,1992,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,2.46308917859285,,,0.01397510151841,Summary1.As1,ITALY,1992,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,,Summary1.As1,ITALY,1992,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),393035.4684445664,,,,,,Summary1.As1,ITALY,1993,Subsector,1. Energy,
                                           Sectoral approach(2),399349.64636298746,106.11461301993208,15.69995961194961,,,,Summary1.As1,ITALY,1993,Subsector,1. Energy,
1.  Energy industries,124746.01300817584,7.91501408062252,1.41238724161083,,,,Summary1.As1,ITALY,1993,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,86807.77878900724,6.53451823420065,3.9396626521711,,,,Summary1.As1,ITALY,1993,Subsector,1. Energy,
3.  Transport,109431.1833259293,42.53722988509671,3.89391775177006,,,,Summary1.As1,ITALY,1993,Subsector,1. Energy,
4.  Other sectors,76871.31942970103,48.91214411118865,6.1780024811035,,,,Summary1.As1,ITALY,1993,Subsector,1. Energy,
5.  Other,1493.351810174089,0.21570670882353,0.27598948529412,,,,Summary1.As1,ITALY,1993,Subsector,1. Energy,
B. Fugitive emissions from fuels,4179.991194331091,355.45208733726093,0.04039374689004,,,,Summary1.As1,ITALY,1993,Subsector,1. Energy,
1.  Solid fuels,0.20657049146063,3.468495,,,,,Summary1.As1,ITALY,1993,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,4179.78462383963,351.9835923372609,0.04039374689004,,,,Summary1.As1,ITALY,1993,Subsector,1. Energy,
B.  Chemical industry,1721.379,2.28203694,21.65228787140558,375.17,895.5698832166306,0.005,Summary1.As1,ITALY,1993,Subsector,2.  Industrial processes and product use,
C.  Metal industry,4051.0869515620234,2.58693337931945,,,607.1847359055768,,Summary1.As1,ITALY,1993,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,1618.559956099167,,,,,,Summary1.As1,ITALY,1993,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,103.8522826194444,,,Summary1.As1,ITALY,1993,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,2.4961493272774,,,0.01448624437429,Summary1.As1,ITALY,1993,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,,Summary1.As1,ITALY,1993,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),386883.1438594232,,,,,,Summary1.As1,ITALY,1994,Subsector,1. Energy,
                                           Sectoral approach(2),394704.5076345183,104.90796160185084,16.27622838349185,,,,Summary1.As1,ITALY,1994,Subsector,1. Energy,
1.  Energy industries,127171.53088831047,8.19498501454756,1.44775478768984,,,,Summary1.As1,ITALY,1994,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,88604.85965422927,6.531943494344,3.90037831467911,,,,Summary1.As1,ITALY,1994,Subsector,1. Energy,
3.  Transport,109131.67809036915,41.04809652310352,4.66990494677354,,,,Summary1.As1,ITALY,1994,Subsector,1. Energy,
4.  Other sectors,68285.03746574126,48.92121751867929,6.00815279964348,,,,Summary1.As1,ITALY,1994,Subsector,1. Energy,
5.  Other,1511.401535868068,0.21171905117647,0.25003753470588,,,,Summary1.As1,ITALY,1994,Subsector,1. Energy,
B. Fugitive emissions from fuels,4070.157755510013,346.90606764920875,0.04013395088076,,,,Summary1.As1,ITALY,1994,Subsector,1. Energy,
1.  Solid fuels,0.09999748715752,3.253088,,,,,Summary1.As1,ITALY,1994,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,4070.057758022856,343.6529796492088,0.04013395088076,,,,Summary1.As1,ITALY,1994,Subsector,1. Energy,
B.  Chemical industry,1406.04,2.48899494,20.35927851451976,378.34,915.2532495820512,0.005,Summary1.As1,ITALY,1994,Subsector,2.  Industrial processes and product use,
C.  Metal industry,3932.445318540768,2.57683890536729,,,362.9761884652032,,Summary1.As1,ITALY,1994,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,1578.1932154850433,,,,,,Summary1.As1,ITALY,1994,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,210.5581973069687,,,Summary1.As1,ITALY,1994,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,2.4615,,,0.0163824998957,Summary1.As1,ITALY,1994,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,,Summary1.As1,ITALY,1994,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),408403.2927361279,,,,,,Summary1.As1,ITALY,1995,Subsector,1. Energy,
