GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,Unspecified mix of HFCs and PFCs(1)
4.  Other sectors,79781.12805372813,34.84316656915733,5.76104376253336,,,,Summary1.As1,ITALY,2002,Subsector,1. Energy,
5.  Other,327.8607530563084,0.07237816764706,0.02245742058824,,,,Summary1.As1,ITALY,2002,Subsector,1. Energy,
B. Fugitive emissions from fuels,2842.9681799605423,300.9940843326676,0.04233814517677,,,,Summary1.As1,ITALY,2002,Subsector,1. Energy,
1.  Solid fuels,0.46063082897277,4.271305,,,,,Summary1.As1,ITALY,2002,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,2842.5075491315697,296.72277933266764,0.04233814517677,,,,Summary1.As1,ITALY,2002,Subsector,1. Energy,
B.  Chemical industry,1384.7989320000006,0.24395758,25.4894976442874,23.0374744,928.8701805054152,,Summary1.As1,ITALY,2002,Subsector,2.  Industrial processes and product use,
C.  Metal industry,2117.429775168726,2.37535416222688,,,207.5260222083593,0.01674,Summary1.As1,ITALY,2002,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,1362.809679779113,,,,,,Summary1.As1,ITALY,2002,Subsector,2.  Industrial processes and product use,
E.  Electronic industry ,,,,6.18933333333338,225.1076666666667,0.00226787234043,Summary1.As1,ITALY,2002,Subsector,2.  Industrial processes and product use,24.428296784
F.  Product uses as substitutes for ODS,,,,4724.790473871531,,,Summary1.As1,ITALY,2002,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,2.996725,,,0.01341026515975,Summary1.As1,ITALY,2002,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,,Summary1.As1,ITALY,2002,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),451019.18768390606,,,,,,Summary1.As1,ITALY,2003,Subsector,1. Energy,
                                           Sectoral approach(2),464520.4187464361,90.35837259652672,18.72336591234043,,,,Summary1.As1,ITALY,2003,Subsector,1. Energy,
1.  Energy industries,158890.9329421063,5.7961862545853,1.77728382718221,,,,Summary1.As1,ITALY,2003,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,94203.88357927644,5.93598602074593,4.87488795093649,,,,Summary1.As1,ITALY,2003,Subsector,1. Energy,
3.  Transport,126140.67425285824,25.69275227412845,5.2484316989506,,,,Summary1.As1,ITALY,2003,Subsector,1. Energy,
4.  Other sectors,84600.79477271506,52.83548136941999,6.69765034468289,,,,Summary1.As1,ITALY,2003,Subsector,1. Energy,
5.  Other,684.1331994800079,0.09796667764706,0.12511209058824,,,,Summary1.As1,ITALY,2003,Subsector,1. Energy,
B. Fugitive emissions from fuels,3383.52173269043,297.3453097439368,0.04290618188198,,,,Summary1.As1,ITALY,2003,Subsector,1. Energy,
1.  Solid fuels,0.70648900149198,5.34725,,,,,Summary1.As1,ITALY,2003,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,3382.815243688938,291.9980597439368,0.04290618188198,,,,Summary1.As1,ITALY,2003,Subsector,1. Energy,
B.  Chemical industry,1509.7213999999997,0.22181386,24.37749963018765,26.4454016,1203.3090974729243,,Summary1.As1,ITALY,2003,Subsector,2.  Industrial processes and product use,
C.  Metal industry,1999.7045668897576,2.45704659478799,,,279.6103403618215,0.005657,Summary1.As1,ITALY,2003,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,1344.524788972403,,,,,,Summary1.As1,ITALY,2003,Subsector,2.  Industrial processes and product use,
E.  Electronic industry ,,,,8.5653333333333,230.00633333333337,0.00257290780142,Summary1.As1,ITALY,2003,Subsector,2.  Industrial processes and product use,24.428296784
F.  Product uses as substitutes for ODS,,,,6071.385609925866,,,Summary1.As1,ITALY,2003,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,2.814875,,,0.0158092248964,Summary1.As1,ITALY,2003,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,,Summary1.As1,ITALY,2003,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),452520.3642827852,,,,,,Summary1.As1,ITALY,2004,Subsector,1. Energy,
                                           Sectoral approach(2),469941.9315262423,71.65835841795023,18.46870625640945,,,,Summary1.As1,ITALY,2004,Subsector,1. Energy,
1.  Energy industries,160712.93976025426,5.78496911585198,1.89045435762044,,,,Summary1.As1,ITALY,2004,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,93015.10648410692,5.97755663876405,5.07076609065226,,,,Summary1.As1,ITALY,2004,Subsector,1. Energy,
3.  Transport,127913.7666526034,23.13953532791327,5.19986798062535,,,,Summary1.As1,ITALY,2004,Subsector,1. Energy,
4.  Other sectors,87178.2487035276,36.62079042306799,6.02866828809964,,,,Summary1.As1,ITALY,2004,Subsector,1. Energy,
5.  Other,1121.8699257501632,0.13550691235294,0.27894953941176,,,,Summary1.As1,ITALY,2004,Subsector,1. Energy,
B. Fugitive emissions from fuels,2646.0312873633407,287.3674360671139,0.04353860601891,,,,Summary1.As1,ITALY,2004,Subsector,1. Energy,
1.  Solid fuels,0.27694368858486,3.37703,,,,,Summary1.As1,ITALY,2004,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,2645.7543436747555,283.9904060671139,0.04353860601891,,,,Summary1.As1,ITALY,2004,Subsector,1. Energy,
B.  Chemical industry,1624.6309,0.24212712,27.2355,20.8746848,1413.4106859205774,,Summary1.As1,ITALY,2004,Subsector,2.  Industrial processes and product use,
C.  Metal industry,2087.228631073576,2.58112361034792,,,164.3109933873986,0.003944,Summary1.As1,ITALY,2004,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,1329.7622503513498,,,,,,Summary1.As1,ITALY,2004,Subsector,2.  Industrial processes and product use,
E.  Electronic industry ,,,,8.8256666666667,192.73466666666675,0.00297374468085,Summary1.As1,ITALY,2004,Subsector,2.  Industrial processes and product use,24.428296784
F.  Product uses as substitutes for ODS,,,,7532.628407560703,,,Summary1.As1,ITALY,2004,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,2.7254,,,0.01862891982736,Summary1.As1,ITALY,2004,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,,Summary1.As1,ITALY,2004,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),458748.0535636028,,,,,,Summary1.As1,ITALY,2005,Subsector,1. Energy,
                                           Sectoral approach(2),470291.5975203533,92.03780932976888,18.11581441686625,,,,Summary1.As1,ITALY,2005,Subsector,1. Energy,
1.  Energy industries,159227.3608723307,5.96277463142903,1.86951675597526,,,,Summary1.As1,ITALY,2005,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,90785.92732975948,6.47950816580272,5.02089872232174,,,,Summary1.As1,ITALY,2005,Subsector,1. Energy,
3.  Transport,126780.42863929018,20.27190987410903,3.81892769536555,,,,Summary1.As1,ITALY,2005,Subsector,1. Energy,
4.  Other sectors,92265.27266721036,59.16318310901634,7.11509628555664,,,,Summary1.As1,ITALY,2005,Subsector,1. Energy,
5.  Other,1232.6080117626284,0.16043354941176,0.29137495764706,,,,Summary1.As1,ITALY,2005,Subsector,1. Energy,
B. Fugitive emissions from fuels,2557.0669483921383,287.38538587111333,0.04482372081984,,,,Summary1.As1,ITALY,2005,Subsector,1. Energy,
1.  Solid fuels,0.26846582056695,3.591825,,,,,Summary1.As1,ITALY,2005,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,2556.798482571572,283.79356087111336,0.04482372081984,,,,Summary1.As1,ITALY,2005,Subsector,1. Energy,
B.  Chemical industry,1635.0246,0.24726866,25.0331,22.78521364,1388.278916967509,,Summary1.As1,ITALY,2005,Subsector,2.  Industrial processes and product use,
C.  Metal industry,2419.3951555181925,2.7244822318532,,,190.7437411335401,0.003544,Summary1.As1,ITALY,2005,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,1344.8692069397273,,,,,,Summary1.As1,ITALY,2005,Subsector,2.  Industrial processes and product use,
E.  Electronic industry ,,,,7.19033333333334,180.4183333333334,0.0024324822695,Summary1.As1,ITALY,2005,Subsector,2.  Industrial processes and product use,24.428296784
F.  Product uses as substitutes for ODS,,,,8688.347296198188,,,Summary1.As1,ITALY,2005,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,2.6562875,,,0.0180716342482,Summary1.As1,ITALY,2005,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,,Summary1.As1,ITALY,2005,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),451852.0844155428,,,,,,Summary1.As1,ITALY,2006,Subsector,1. Energy,
                                           Sectoral approach(2),464854.41071748233,100.14528240769222,18.29067077589671,,,,Summary1.As1,ITALY,2006,Subsector,1. Energy,
1.  Energy industries,161489.53480612676,5.8338567650169,1.86521605469689,,,,Summary1.As1,ITALY,2006,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,87666.19282241556,6.47814012422763,4.89133054336265,,,,Summary1.As1,ITALY,2006,Subsector,1. Energy,
3.  Transport,128062.65105074724,18.48540154895934,3.86046449244392,,,,Summary1.As1,ITALY,2006,Subsector,1. Energy,
4.  Other sectors,86625.3600770247,69.2205675089001,7.43433547304031,,,,Summary1.As1,ITALY,2006,Subsector,1. Energy,
5.  Other,1010.6719611680808,0.12731646058824,0.23932421235294,,,,Summary1.As1,ITALY,2006,Subsector,1. Energy,
B. Fugitive emissions from fuels,2591.4844102458906,261.7676118903425,0.04380642185004,,,,Summary1.As1,ITALY,2006,Subsector,1. Energy,
1.  Solid fuels,0.05934507612533,2.632435,,,,,Summary1.As1,ITALY,2006,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,2591.4250651697653,259.13517689034245,0.04380642185004,,,,Summary1.As1,ITALY,2006,Subsector,1. Energy,
B.  Chemical industry,1591.2892,0.23678424,8.537201811,23.74728336,1458.547342960289,,Summary1.As1,ITALY,2006,Subsector,2.  Industrial processes and product use,
C.  Metal industry,2360.969800688552,2.81300943103599,,,163.0823949693291,0.002562,Summary1.As1,ITALY,2006,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,1340.247774592637,,,,,,Summary1.As1,ITALY,2006,Subsector,2.  Industrial processes and product use,
E.  Electronic industry ,,,,6.70266666666664,128.05099999999993,0.00183973049645,Summary1.As1,ITALY,2006,Subsector,2.  Industrial processes and product use,24.428296784
F.  Product uses as substitutes for ODS,,,,9940.539901053042,,,Summary1.As1,ITALY,2006,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,2.6075125,,,0.0205545932759,Summary1.As1,ITALY,2006,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,,Summary1.As1,ITALY,2006,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),442069.1961971607,,,,,,Summary1.As1,ITALY,2007,Subsector,1. Energy,
                                           Sectoral approach(2),458303.7898088928,121.76737888289726,19.11852855632606,,,,Summary1.As1,ITALY,2007,Subsector,1. Energy,
1.  Energy industries,158483.30392562164,5.33544803716004,1.82497124429679,,,,Summary1.As1,ITALY,2007,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,89775.39903314676,6.88375714836599,4.93762723531099,,,,Summary1.As1,ITALY,2007,Subsector,1. Energy,
3.  Transport,128175.20144503638,16.1530600415048,3.80786725849837,,,,Summary1.As1,ITALY,2007,Subsector,1. Energy,
4.  Other sectors,80948.18280984405,93.2815627870429,8.32145071292579,,,,Summary1.As1,ITALY,2007,Subsector,1. Energy,
5.  Other,921.7025952439868,0.11355086882353,0.22661210529412,,,,Summary1.As1,ITALY,2007,Subsector,1. Energy,
B. Fugitive emissions from fuels,2526.2901186339814,258.09036855875524,0.04440010003191,,,,Summary1.As1,ITALY,2007,Subsector,1. Energy,
1.  Solid fuels,0.44650104894293,4.53363,,,,,Summary1.As1,ITALY,2007,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,2525.8436175850384,253.55673855875528,0.04440010003191,,,,Summary1.As1,ITALY,2007,Subsector,1. Energy,
B.  Chemical industry,1614.9712000000002,0.24930088,6.0992,21.41550488,1392.3,,Summary1.As1,ITALY,2007,Subsector,2.  Industrial processes and product use,
C.  Metal industry,2292.6106740351056,2.74889974947133,,1.05878,208.8508917335284,0.002255,Summary1.As1,ITALY,2007,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,1329.772733288951,,,,,,Summary1.As1,ITALY,2007,Subsector,2.  Industrial processes and product use,
E.  Electronic industry ,,,,6.88599999999998,102.05799999999996,0.00147197163121,Summary1.As1,ITALY,2007,Subsector,2.  Industrial processes and product use,24.428296784
F.  Product uses as substitutes for ODS,,,,10846.663538784924,,,Summary1.As1,ITALY,2007,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,2.541975,,,0.01608152379946,Summary1.As1,ITALY,2007,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,,Summary1.As1,ITALY,2007,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),435592.8488520727,,,,,,Summary1.As1,ITALY,2008,Subsector,1. Energy,
                                           Sectoral approach(2),449101.8046795285,136.334244719277,19.17048543007021,,,,Summary1.As1,ITALY,2008,Subsector,1. Energy,
1.  Energy industries,155423.38558763938,5.28057350468197,1.7669559685931,,,,Summary1.As1,ITALY,2008,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,85419.387663498,6.67637226804134,4.50301020939925,,,,Summary1.As1,ITALY,2008,Subsector,1. Energy,
3.  Transport,121424.241644953,14.7055251791565,3.66076514012803,,,,Summary1.As1,ITALY,2008,Subsector,1. Energy,
4.  Other sectors,86075.60571419523,109.59796568386776,9.04077579783218,,,,Summary1.As1,ITALY,2008,Subsector,1. Energy,
5.  Other,759.184069242936,0.07380808352941,0.19897831411765,,,,Summary1.As1,ITALY,2008,Subsector,1. Energy,
B. Fugitive emissions from fuels,2596.046818345787,254.938838802026,0.04157476454073,,,,Summary1.As1,ITALY,2008,Subsector,1. Energy,
1.  Solid fuels,0.33063685269825,3.849495,,,,,Summary1.As1,ITALY,2008,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,2595.7161814930887,251.089343802026,0.04157476454073,,,,Summary1.As1,ITALY,2008,Subsector,1. Energy,
B.  Chemical industry,1422.3026,0.2110812,3.4373,1.04044588,1326.0,,Summary1.As1,ITALY,2008,Subsector,2.  Industrial processes and product use,
C.  Metal industry,2439.821494881892,2.61193783895653,,7.4045494,116.05036615438368,0.00044,Summary1.As1,ITALY,2008,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,1261.331220122946,,,,,,Summary1.As1,ITALY,2008,Subsector,2.  Industrial processes and product use,
E.  Electronic industry ,,,,10.66633333333332,105.336,0.00127272340426,Summary1.As1,ITALY,2008,Subsector,2.  Industrial processes and product use,24.428296784
F.  Product uses as substitutes for ODS,,,,12021.428527980994,,,Summary1.As1,ITALY,2008,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,2.34605,,,0.01999912923165,Summary1.As1,ITALY,2008,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,,Summary1.As1,ITALY,2008,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),394865.8855446007,,,,,,Summary1.As1,ITALY,2009,Subsector,1. Energy,
                                           Sectoral approach(2),400881.3929682276,128.5625762623501,17.93854493462623,,,,Summary1.As1,ITALY,2009,Subsector,1. Energy,
1.  Energy industries,133491.01449321778,4.87192338810054,1.63526829065714,,,,Summary1.As1,ITALY,2009,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,63482.770968987024,4.40660157455733,3.63298384581662,,,,Summary1.As1,ITALY,2009,Subsector,1. Energy,
3.  Transport,115963.19897926612,13.383839414157,3.5003793608598,,,,Summary1.As1,ITALY,2009,Subsector,1. Energy,
4.  Other sectors,87075.95051179102,105.82726224377052,8.93117948023385,,,,Summary1.As1,ITALY,2009,Subsector,1. Energy,
5.  Other,868.4580149657087,0.07294964176471,0.23873395705882,,,,Summary1.As1,ITALY,2009,Subsector,1. Energy,
B. Fugitive emissions from fuels,2231.5038911069246,248.72679240537784,0.03792173216402,,,,Summary1.As1,ITALY,2009,Subsector,1. Energy,
1.  Solid fuels,0.20346883242969,2.36642,,,,,Summary1.As1,ITALY,2009,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,2231.300422274495,246.36037240537783,0.03792173216402,,,,Summary1.As1,ITALY,2009,Subsector,1. Energy,
B.  Chemical industry,1074.5115,0.190188115,3.644,0.6878652,861.9,,Summary1.As1,ITALY,2009,Subsector,2.  Industrial processes and product use,
C.  Metal industry,1699.5396001712047,1.53925718133915,,1.82909,152.48693841122062,0.000384,Summary1.As1,ITALY,2009,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,1147.5047682877512,,,,,,Summary1.As1,ITALY,2009,Subsector,2.  Industrial processes and product use,
E.  Electronic industry ,,,,7.04366666666664,85.09233333333331,0.00088530496454,Summary1.As1,ITALY,2009,Subsector,2.  Industrial processes and product use,24.428296784
F.  Product uses as substitutes for ODS,,,,13104.946863564788,,,Summary1.As1,ITALY,2009,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,2.205075,,,0.01940672019264,Summary1.As1,ITALY,2009,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,,Summary1.As1,ITALY,2009,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),400766.4026296384,,,,,,Summary1.As1,ITALY,2010,Subsector,1. Energy,
                                           Sectoral approach(2),411945.0670800203,126.4088228879598,17.89774153175959,,,,Summary1.As1,ITALY,2010,Subsector,1. Energy,
1.  Energy industries,136885.38897573395,4.89561362401079,1.67608143863287,,,,Summary1.As1,ITALY,2010,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,68899.42780569018,5.68038259856019,3.7700968039248,,,,Summary1.As1,ITALY,2010,Subsector,1. Energy,
3.  Transport,114627.94008058571,12.42695847011633,3.5209875511846,,,,Summary1.As1,ITALY,2010,Subsector,1. Energy,
4.  Other sectors,90880.413858159,103.3412046505666,8.79984281919379,,,,Summary1.As1,ITALY,2010,Subsector,1. Energy,
5.  Other,651.8963598514486,0.06466354470588,0.13073291882353,,,,Summary1.As1,ITALY,2010,Subsector,1. Energy,
B. Fugitive emissions from fuels,2376.9608602083404,260.31307795353234,0.03973690451608,,,,Summary1.As1,ITALY,2010,Subsector,1. Energy,
1.  Solid fuels,0.28542155660276,3.442235,,,,,Summary1.As1,ITALY,2010,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,2376.6754386517377,256.8708429535324,0.03973690451608,,,,Summary1.As1,ITALY,2010,Subsector,1. Energy,
B.  Chemical industry,1361.8712349999998,0.21901046,2.0866,0.84593916,1166.88,,Summary1.As1,ITALY,2010,Subsector,2.  Industrial processes and product use,
C.  Metal industry,1833.8319766783472,2.17270330905982,,1.91785,89.1883297272,0.000731,Summary1.As1,ITALY,2010,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,1116.809261328071,,,,,,Summary1.As1,ITALY,2010,Subsector,2.  Industrial processes and product use,
E.  Electronic industry ,,,,10.72866666666666,120.5673333333334,0.00130112056738,Summary1.As1,ITALY,2010,Subsector,2.  Industrial processes and product use,24.428296784
F.  Product uses as substitutes for ODS,,,,14311.300828673808,,,Summary1.As1,ITALY,2010,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,2.0207625,,,0.01519931421815,Summary1.As1,ITALY,2010,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,,Summary1.As1,ITALY,2010,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),393287.075327664,,,,,,Summary1.As1,ITALY,2011,Subsector,1. Energy,
                                           Sectoral approach(2),400287.7715578673,95.64178737012512,16.00027503583106,,,,Summary1.As1,ITALY,2011,Subsector,1. Energy,
1.  Energy industries,132748.29656275705,5.32336566616039,1.7502194925425,,,,Summary1.As1,ITALY,2011,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,69688.05310316349,9.26955021736963,3.58036273992867,,,,Summary1.As1,ITALY,2011,Subsector,1. Energy,
3.  Transport,113669.3673210954,11.76154964250995,3.4365019981774,,,,Summary1.As1,ITALY,2011,Subsector,1. Energy,
4.  Other sectors,83667.17696687621,69.23531948937928,7.13471891635896,,,,Summary1.As1,ITALY,2011,Subsector,1. Energy,
5.  Other,514.8776039751438,0.05200235470588,0.09847188882353,,,,Summary1.As1,ITALY,2011,Subsector,1. Energy,
B. Fugitive emissions from fuels,2615.1658835089547,257.76324005074366,0.03765235444242,,,,Summary1.As1,ITALY,2011,Subsector,1. Energy,
1.  Solid fuels,0.25998795254905,3.65762,,,,,Summary1.As1,ITALY,2011,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,2614.905895556406,254.10562005074368,0.03765235444242,,,,Summary1.As1,ITALY,2011,Subsector,1. Energy,
B.  Chemical industry,1364.1093,0.18043728,0.9528,1.03171596,1290.861,,Summary1.As1,ITALY,2011,Subsector,2.  Industrial processes and product use,
C.  Metal industry,2043.9863529541103,2.46724254791363,,3.8922,85.27994611017392,,Summary1.As1,ITALY,2011,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,1134.1236094998678,,,,,,Summary1.As1,ITALY,2011,Subsector,2.  Industrial processes and product use,
E.  Electronic industry ,,,,10.6113333333333,127.61466666666664,0.00215194326241,Summary1.As1,ITALY,2011,Subsector,2.  Industrial processes and product use,24.428296784
F.  Product uses as substitutes for ODS,,,,15207.605205240754,,,Summary1.As1,ITALY,2011,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,1.86049375,,,0.01714002595053,Summary1.As1,ITALY,2011,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,,Summary1.As1,ITALY,2011,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),371875.6727699629,,,,,,Summary1.As1,ITALY,2012,Subsector,1. Energy,
                                           Sectoral approach(2),382887.4225556912,121.95909947319366,16.32803297151783,,,,Summary1.As1,ITALY,2012,Subsector,1. Energy,
1.  Energy industries,127688.80195821286,5.36996849157243,1.76584818086477,,,,Summary1.As1,ITALY,2012,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,65432.70765678804,9.01597914602123,3.03615090503469,,,,Summary1.As1,ITALY,2012,Subsector,1. Energy,
3.  Transport,106365.85481409698,10.93149192133441,3.22851825073465,,,,Summary1.As1,ITALY,2012,Subsector,1. Energy,
4.  Other sectors,83064.70739278727,96.6138632442656,8.20525654488372,,,,Summary1.As1,ITALY,2012,Subsector,1. Energy,
5.  Other,335.35073380598834,0.02779667,0.09225909,,,,Summary1.As1,ITALY,2012,Subsector,1. Energy,
B. Fugitive emissions from fuels,2527.7813627113032,253.79570738323667,0.03601780077818,,,,Summary1.As1,ITALY,2012,Subsector,1. Energy,
1.  Solid fuels,0.22607648047744,3.1908,,,,,Summary1.As1,ITALY,2012,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,2527.555286230826,250.60490738323668,0.03601780077818,,,,Summary1.As1,ITALY,2012,Subsector,1. Energy,
B.  Chemical industry,1311.4079355238312,0.16710128,0.756333,0.98363496,1206.66,,Summary1.As1,ITALY,2012,Subsector,2.  Industrial processes and product use,
C.  Metal industry,1918.2662360776148,2.36157141880951,,4.186,34.7093631083628,,Summary1.As1,ITALY,2012,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,1046.3391429490016,,,,,,Summary1.As1,ITALY,2012,Subsector,2.  Industrial processes and product use,
E.  Electronic industry ,,,,6.65133333333339,115.62833333333327,0.00196736170213,Summary1.As1,ITALY,2012,Subsector,2.  Industrial processes and product use,24.428296784
F.  Product uses as substitutes for ODS,,,,15910.782335498254,,,Summary1.As1,ITALY,2012,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,2.01963625,,,0.01751633939032,Summary1.As1,ITALY,2012,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,,Summary1.As1,ITALY,2012,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),339118.7514271268,,,,,,Summary1.As1,ITALY,2013,Subsector,1. Energy,
                                           Sectoral approach(2),350546.4159813464,124.48745831920505,16.03442724346305,,,,Summary1.As1,ITALY,2013,Subsector,1. Energy,
1.  Energy industries,108537.55314761132,5.41095786165835,1.66733226806007,,,,Summary1.As1,ITALY,2013,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,55702.363557891535,11.52567131593054,2.81466141740566,,,,Summary1.As1,ITALY,2013,Subsector,1. Energy,
3.  Transport,103303.95984805128,10.06173368550045,3.17821369497686,,,,Summary1.As1,ITALY,2013,Subsector,1. Energy,
4.  Other sectors,82417.71001968205,97.43452041552746,8.24043159066752,,,,Summary1.As1,ITALY,2013,Subsector,1. Energy,
5.  Other,584.8294081101956,0.05457504058824,0.13378827235294,,,,Summary1.As1,ITALY,2013,Subsector,1. Energy,
B. Fugitive emissions from fuels,2701.607306209676,245.48340519536052,0.03215758074758,,,,Summary1.As1,ITALY,2013,Subsector,1. Energy,
1.  Solid fuels,0.20629478843566,2.328155,,,,,Summary1.As1,ITALY,2013,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,2701.4010114212406,243.15525019536057,0.03215758074758,,,,Summary1.As1,ITALY,2013,Subsector,1. Energy,
B.  Chemical industry,1304.89765493155,0.15472282,0.7436025923566,1.10103444,1412.19,,Summary1.As1,ITALY,2013,Subsector,2.  Industrial processes and product use,
C.  Metal industry,1678.116434605741,1.87915413574377,,5.278,,,Summary1.As1,ITALY,2013,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,1036.4530320167064,,,,,,Summary1.As1,ITALY,2013,Subsector,2.  Industrial processes and product use,
E.  Electronic industry ,,,,7.73666666666667,131.34366666666665,0.00185782978723,Summary1.As1,ITALY,2013,Subsector,2.  Industrial processes and product use,24.428296784
F.  Product uses as substitutes for ODS,,,,16678.229430357485,,,Summary1.As1,ITALY,2013,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,1.85059375,,,0.01658880214406,Summary1.As1,ITALY,2013,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,,Summary1.As1,ITALY,2013,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),320637.24991943775,,,,,,Summary1.As1,ITALY,2014,Subsector,1. Energy,
                                           Sectoral approach(2),331371.26214577287,112.14389807702072,15.23509338541134,,,,Summary1.As1,ITALY,2014,Subsector,1. Energy,
1.  Energy industries,99915.56968593477,5.34659537621348,1.61190222486759,,,,Summary1.As1,ITALY,2014,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,51524.262836809154,12.19316655553364,2.71986529108919,,,,Summary1.As1,ITALY,2014,Subsector,1. Energy,
3.  Transport,108130.60632268163,9.67861912411676,3.27306622206823,,,,Summary1.As1,ITALY,2014,Subsector,1. Energy,
4.  Other sectors,71227.50229439123,84.8598140705686,7.54844610503339,,,,Summary1.As1,ITALY,2014,Subsector,1. Energy,
5.  Other,573.3210059560654,0.06570295058824,0.08181354235294,,,,Summary1.As1,ITALY,2014,Subsector,1. Energy,
B. Fugitive emissions from fuels,2501.1447526613106,235.42613648526563,0.03044271297069,,,,Summary1.As1,ITALY,2014,Subsector,1. Energy,
1.  Solid fuels,0.24303221651324,2.27421,,,,,Summary1.As1,ITALY,2014,Subsector,1. Energy,
