GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level
International bunkers,115462.80548207478,5.37767778303031,3.30889223697305,Summary1.As3,USA,2007,Sector
CO2 emissions from biomass,259985.23703879252,,,Summary1.As3,USA,2007,Sector
