GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,5084935.459932133,11933.35922222493,156.8638816679486,,,,,Summary1.As1,USA,2019,Sector
2.  Industrial processes and product use,169976.01129533313,14.51711617555963,70.71874510334304,149355.42645790507,3985.614448975979,16069.89597065,0.33001553822501,Summary1.As1,USA,2019,Sector
