GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,4959763.819044373,14410.85101236818,245.73651892266383,,,,,Summary1.As1,USA,1992,Sector
2.  Industrial processes and product use,207579.5056901208,10.598048632,104.10691480422486,39830.65833275491,17539.693695516165,535.4307816,1.25244022448606,Summary1.As1,USA,1992,Sector
