GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),2307.5104433333354,,,,Summary1.As1,MALTA,1990,Subsector,1. Energy
                                           Sectoral approach(2),2421.8836863985957,0.17945548687024,0.0303093110806,,Summary1.As1,MALTA,1990,Subsector,1. Energy
1.  Energy industries,1758.5150999999998,0.048297,0.0194094,,Summary1.As1,MALTA,1990,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,52.6675873484455,0.00199928610662,0.00039120332465,,Summary1.As1,MALTA,1990,Subsector,1. Energy
3.  Transport,346.2184633968452,0.09652709357635,0.00818734424745,,Summary1.As1,MALTA,1990,Subsector,1. Energy
4.  Other sectors,263.68617388656304,0.03258967326684,0.00229927771676,,Summary1.As1,MALTA,1990,Subsector,1. Energy
5.  Other,0.79636176674228,4.243392043e-05,2.208579174e-05,,Summary1.As1,MALTA,1990,Subsector,1. Energy
B. Fugitive emissions from fuels,,,,,Summary1.As1,MALTA,1990,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,,,,,Summary1.As1,MALTA,1990,Subsector,1. Energy
A.  Mineral industry,1.43588205,,,,Summary1.As1,MALTA,1990,Subsector,1. Energy
