GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),2142.6815666666685,,,,,Summary1.As1,MALTA,1998,Subsector,1. Energy
                                           Sectoral approach(2),2519.9741912872505,0.20760323169182,0.03115866488349,,,Summary1.As1,MALTA,1998,Subsector,1. Energy
1.  Energy industries,1636.40886,0.0635202,0.01270404,,,Summary1.As1,MALTA,1998,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,59.7247004628607,0.0022589648026,0.00044405337959,,,Summary1.As1,MALTA,1998,Subsector,1. Energy
3.  Transport,483.53555336661117,0.09971306043019,0.01457580076826,,,Summary1.As1,MALTA,1998,Subsector,1. Energy
4.  Other sectors,339.22614758923385,0.04205723190686,0.00340485651153,,,Summary1.As1,MALTA,1998,Subsector,1. Energy
5.  Other,1.07892986854485,5.377455217e-05,2.991422411e-05,,,Summary1.As1,MALTA,1998,Subsector,1. Energy
B. Fugitive emissions from fuels,,,,,,Summary1.As1,MALTA,1998,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,,,,,,Summary1.As1,MALTA,1998,Subsector,1. Energy
A.  Mineral industry,0.963443135,,,,,Summary1.As1,MALTA,1998,Subsector,1. Energy
