GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),2504.244196666669,,,,,Summary1.As1,MALTA,2001,Subsector,1. Energy
                                           Sectoral approach(2),2732.3460770469724,0.19000943258579,0.03298041372935,,,Summary1.As1,MALTA,2001,Subsector,1. Energy
1.  Energy industries,1943.92146,0.0757542,0.01515084,,,Summary1.As1,MALTA,2001,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,56.4578141716897,0.00214222941606,0.00042110296166,,,Summary1.As1,MALTA,2001,Subsector,1. Energy
3.  Transport,522.0141319748765,0.08733469243488,0.015088635184,,,Summary1.As1,MALTA,2001,Subsector,1. Energy
4.  Other sectors,208.5835732335994,0.02470454199283,0.00228204559945,,,Summary1.As1,MALTA,2001,Subsector,1. Energy
5.  Other,1.36909766680673,7.376874202e-05,3.778998424e-05,,,Summary1.As1,MALTA,2001,Subsector,1. Energy
B. Fugitive emissions from fuels,,,,,,Summary1.As1,MALTA,2001,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,,,,,,Summary1.As1,MALTA,2001,Subsector,1. Energy
A.  Mineral industry,0.201150915,,,,,Summary1.As1,MALTA,2001,Subsector,1. Energy
