GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),1332.4421000000011,,,,,,Summary1.As1,MALTA,2016,Subsector,1. Energy
                                           Sectoral approach(2),1348.2752852664116,0.10434484456828,0.01931952666324,,,,Summary1.As1,MALTA,2016,Subsector,1. Energy
1.  Energy industries,557.5509,0.021627,0.0043254,,,,Summary1.As1,MALTA,2016,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,59.508,0.002184,0.000423,,,,Summary1.As1,MALTA,2016,Subsector,1. Energy
3.  Transport,580.6990565302599,0.04530701779866,0.01232114771254,,,,Summary1.As1,MALTA,2016,Subsector,1. Energy
4.  Other sectors,146.9840439376,0.03501776180173,0.00215309518475,,,,Summary1.As1,MALTA,2016,Subsector,1. Energy
5.  Other,3.53328479855171,0.00020906496789,9.688376595e-05,,,,Summary1.As1,MALTA,2016,Subsector,1. Energy
B. Fugitive emissions from fuels,,,,,,,Summary1.As1,MALTA,2016,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,,,,,,,Summary1.As1,MALTA,2016,Subsector,1. Energy
A.  Mineral industry,1.125059785,,,,,,Summary1.As1,MALTA,2016,Subsector,1. Energy
