GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent)
1. Energy,5814.268346324184,0.53435356468116,0.06723686725993,,Summary1.As1,CYPRUS,2013,Sector,
2.  Industrial processes and product use,767.549713901,,0.02168166,0.0006628812,Summary1.As1,CYPRUS,2013,Sector,225.67344563184545
1. Energy,5962.224953417018,0.50909738273948,0.06774761638992,,Summary1.As1,CYPRUS,2014,Sector,
2.  Industrial processes and product use,988.168205652,,0.02140369,0.0006887196,Summary1.As1,CYPRUS,2014,Sector,233.1802231400783
1. Energy,6080.586598856617,0.62853009650617,0.0718570958069,,Summary1.As1,CYPRUS,2015,Sector,
2.  Industrial processes and product use,890.5905978789999,,0.021436541,0.000714558,Summary1.As1,CYPRUS,2015,Sector,246.6541104292178
1. Energy,6474.201750950236,0.6472347726104,0.077638191547,,Summary1.As1,CYPRUS,2016,Sector,
2.  Industrial processes and product use,899.073936712,,0.021600796,0.00066405733333,Summary1.As1,CYPRUS,2016,Sector,267.01636952878306
1. Energy,6562.047469070235,0.71669214561555,0.08321470456087,,Summary1.As1,CYPRUS,2017,Sector,
2.  Industrial processes and product use,941.346501091,,0.021838334,0.00067249,Summary1.As1,CYPRUS,2017,Sector,287.91200588053846
1. Energy,6450.8210158819165,0.71613608918908,0.08523417543605,,Summary1.As1,CYPRUS,2018,Sector,
2.  Industrial processes and product use,870.67551521524,,0.022133993,0.00071892266667,Summary1.As1,CYPRUS,2018,Sector,308.0521199096325
1. Energy,6522.742166867059,0.74624401218825,0.08708390207385,,Summary1.As1,CYPRUS,2019,Sector,
2.  Industrial processes and product use,819.3675382451199,,0.02243976,0.000657216,Summary1.As1,CYPRUS,2019,Sector,332.26537408977345
1. Energy,6003.616182584364,0.7265119643937,0.09054340396854,,Summary1.As1,CYPRUS,2020,Sector,
2.  Industrial processes and product use,907.07221967196,,0.02264192,0.000797336,Summary1.As1,CYPRUS,2020,Sector,335.68389722515053
1. Energy,6127.040207248501,0.73756481234228,0.09323205131899,,Summary1.As1,CYPRUS,2021,Sector,
2.  Industrial processes and product use,902.0188179752796,,0.02286189535,0.000691086,Summary1.As1,CYPRUS,2021,Sector,353.48764662207435
3.  Agriculture,1.815,12.03186109981988,0.43609015966662,,Summary1.As2,CYPRUS,1990,Sector,
"4.  Land use, land-use change and forestry  (4)",-153.12872984376398,0.00116954679548,0.00010877442697,,Summary1.As2,CYPRUS,1990,Sector,
5.  Waste,,15.1924852044278,0.03696316833571,,Summary1.As2,CYPRUS,1990,Sector,
3.  Agriculture,1.4667,12.36471778948574,0.42695607787497,,Summary1.As2,CYPRUS,1991,Sector,
"4.  Land use, land-use change and forestry  (4)",-167.15907397542426,0.00357434526259,0.00028588192513,,Summary1.As2,CYPRUS,1991,Sector,
5.  Waste,,15.38058321419381,0.03792611347857,,Summary1.As2,CYPRUS,1991,Sector,
3.  Agriculture,1.9177,12.96519390961168,0.47585974482277,,Summary1.As2,CYPRUS,1992,Sector,
"4.  Land use, land-use change and forestry  (4)",-172.73269427783077,0.00114301609288,0.00019545895828,,Summary1.As2,CYPRUS,1992,Sector,
5.  Waste,,15.6698903509483,0.03895317702857,,Summary1.As2,CYPRUS,1992,Sector,
