GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent)
G.  Other product manufacture and use ,,,0.015993383,0.00019785863636,Summary1.As1,CYPRUS,1993,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),5906.985566900005,,,,Summary1.As1,CYPRUS,1994,Subsector,1. Energy,
                                           Sectoral approach(2),5155.441358693793,0.51296505865418,0.11402555751231,,Summary1.As1,CYPRUS,1994,Subsector,1. Energy,
1.  Energy industries,2370.8962,0.10303,0.02008,,Summary1.As1,CYPRUS,1994,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,767.8108168491173,0.03299462245673,0.00622910597284,,Summary1.As1,CYPRUS,1994,Subsector,1. Energy,
3.  Transport,1430.6247199458753,0.26794908538889,0.08344517419466,,Summary1.As1,CYPRUS,1994,Subsector,1. Energy,
4.  Other sectors,570.290315560772,0.10685649165363,0.00414318579551,,Summary1.As1,CYPRUS,1994,Subsector,1. Energy,
5.  Other,15.81930633802817,0.00213485915493,0.0001280915493,,Summary1.As1,CYPRUS,1994,Subsector,1. Energy,
B. Fugitive emissions from fuels,,0.02307336448598,,,Summary1.As1,CYPRUS,1994,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,,0.02307336448598,,,Summary1.As1,CYPRUS,1994,Subsector,1. Energy,
A.  Mineral industry,827.7646,,,,Summary1.As1,CYPRUS,1994,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,6.583217638,,,,Summary1.As1,CYPRUS,1994,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,1994,Subsector,2.  Industrial processes and product use,26.27494309138059
G.  Other product manufacture and use ,,,0.016309258,0.00022507590909,Summary1.As1,CYPRUS,1994,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),5111.709054833338,,,,Summary1.As1,CYPRUS,1995,Subsector,1. Energy,
                                           Sectoral approach(2),5059.480484573869,0.53597736504372,0.1214198593023,,Summary1.As1,CYPRUS,1995,Subsector,1. Energy,
1.  Energy industries,2166.1439,0.09534,0.018032,,Summary1.As1,CYPRUS,1995,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,755.4995509819922,0.03124490911972,0.00596811293505,,Summary1.As1,CYPRUS,1995,Subsector,1. Energy,
3.  Transport,1518.1318668860863,0.26470843518849,0.09272199290089,,Summary1.As1,CYPRUS,1995,Subsector,1. Energy,
4.  Other sectors,602.5395364241001,0.14236747143974,0.00455876050861,,Summary1.As1,CYPRUS,1995,Subsector,1. Energy,
5.  Other,17.16563028169014,0.00231654929577,0.00013899295775,,Summary1.As1,CYPRUS,1995,Subsector,1. Energy,
B. Fugitive emissions from fuels,,0.02108691588785,,,Summary1.As1,CYPRUS,1995,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,,0.02108691588785,,,Summary1.As1,CYPRUS,1995,Subsector,1. Energy,
A.  Mineral industry,794.4629,,,,Summary1.As1,CYPRUS,1995,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,6.449039418,,,,Summary1.As1,CYPRUS,1995,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,1995,Subsector,2.  Industrial processes and product use,28.49244018942138
G.  Other product manufacture and use ,,,0.016584701,0.00025229318182,Summary1.As1,CYPRUS,1995,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),5693.414387100005,,,,Summary1.As1,CYPRUS,1996,Subsector,1. Energy,
                                           Sectoral approach(2),5350.989294215546,0.55516630833458,0.1322418087057,,Summary1.As1,CYPRUS,1996,Subsector,1. Energy,
