GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent)
2.  Manufacturing industries and construction                          ,926.0272614285714,0.05376649514287,0.00918337712857,,Summary1.As1,CYPRUS,2007,Subsector,1. Energy,
3.  Transport,2216.5141791965016,0.201402432457,0.05091650846875,,Summary1.As1,CYPRUS,2007,Subsector,1. Energy,
4.  Other sectors,636.02344,0.187166,0.00500946,,Summary1.As1,CYPRUS,2007,Subsector,1. Energy,
5.  Other,20.3197,0.00615,0.00017265,,Summary1.As1,CYPRUS,2007,Subsector,1. Energy,
A.  Mineral industry,898.3195000000001,,,,Summary1.As1,CYPRUS,2007,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,3.514556609,,,,Summary1.As1,CYPRUS,2007,Subsector,1. Energy,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,2007,Subsector,1. Energy,153.1708308378696
A. Fuel combustion     Reference approach(2),7734.356534666674,,,,Summary1.As1,CYPRUS,2008,Subsector,1. Energy,
                                           Sectoral approach(2),7810.686730296081,0.60564122215358,0.09724268123773,,Summary1.As1,CYPRUS,2008,Subsector,1. Energy,
1.  Energy industries,3967.29,0.15833,0.030844,,Summary1.As1,CYPRUS,2008,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,903.3190442857144,0.05400263092857,0.00915717821071,,Summary1.As1,CYPRUS,2008,Subsector,1. Energy,
3.  Transport,2305.7628160103664,0.19381009122501,0.05209758302702,,Summary1.As1,CYPRUS,2008,Subsector,1. Energy,
4.  Other sectors,591.69107,0.1903385,0.00479067,,Summary1.As1,CYPRUS,2008,Subsector,1. Energy,
5.  Other,42.6238,0.00916,0.00035325,,Summary1.As1,CYPRUS,2008,Subsector,1. Energy,
A.  Mineral industry,901.004,,,,Summary1.As1,CYPRUS,2008,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,3.501163952,,,,Summary1.As1,CYPRUS,2008,Subsector,1. Energy,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,2008,Subsector,1. Energy,172.11583921284853
A. Fuel combustion     Reference approach(2),7574.497760426673,,,,Summary1.As1,CYPRUS,2009,Subsector,1. Energy,
                                           Sectoral approach(2),7738.774315189102,0.68939188382451,0.08888997832302,,Summary1.As1,CYPRUS,2009,Subsector,1. Energy,
1.  Energy industries,3992.47,0.15541,0.031188,,Summary1.As1,CYPRUS,2009,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,798.9040642857144,0.04745800262856,0.0079991539657,,Summary1.As1,CYPRUS,2009,Subsector,1. Energy,
3.  Transport,2310.3194509033874,0.18472888119595,0.04308787435732,,Summary1.As1,CYPRUS,2009,Subsector,1. Energy,
4.  Other sectors,616.7944,0.295635,0.0064416,,Summary1.As1,CYPRUS,2009,Subsector,1. Energy,
5.  Other,20.2864,0.00616,0.00017335,,Summary1.As1,CYPRUS,2009,Subsector,1. Energy,
A.  Mineral industry,726.7371,,,,Summary1.As1,CYPRUS,2009,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,3.54335117,,,,Summary1.As1,CYPRUS,2009,Subsector,1. Energy,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,2009,Subsector,1. Energy,182.72109301105135
A. Fuel combustion     Reference approach(2),7217.252941932006,,,,Summary1.As1,CYPRUS,2010,Subsector,1. Energy,
                                           Sectoral approach(2),7506.873558363483,0.60331902276342,0.08652499530044,,Summary1.As1,CYPRUS,2010,Subsector,1. Energy,
1.  Energy industries,3868.0,0.15044,0.030192,,Summary1.As1,CYPRUS,2010,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,696.57832,0.04678460179,0.00766903026851,,Summary1.As1,CYPRUS,2010,Subsector,1. Energy,
3.  Transport,2358.792798363483,0.18293242097342,0.04340127503193,,Summary1.As1,CYPRUS,2010,Subsector,1. Energy,
4.  Other sectors,563.21604,0.217002,0.00508934,,Summary1.As1,CYPRUS,2010,Subsector,1. Energy,
5.  Other,20.2864,0.00616,0.00017335,,Summary1.As1,CYPRUS,2010,Subsector,1. Energy,
A.  Mineral industry,589.9820000000001,,,,Summary1.As1,CYPRUS,2010,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,3.530106577,,,,Summary1.As1,CYPRUS,2010,Subsector,1. Energy,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,2010,Subsector,1. Energy,198.98564828953548
A. Fuel combustion     Reference approach(2),6933.349905933006,,,,Summary1.As1,CYPRUS,2011,Subsector,1. Energy,
                                           Sectoral approach(2),7211.375796118599,0.60639825553472,0.08325736218219,,Summary1.As1,CYPRUS,2011,Subsector,1. Energy,
1.  Energy industries,3710.04,0.14535,0.02918,,Summary1.As1,CYPRUS,2011,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,572.4397871428572,0.0312761857143,0.00543854714286,,Summary1.As1,CYPRUS,2011,Subsector,1. Energy,
3.  Transport,2289.155978975742,0.16994656982042,0.04266071503933,,Summary1.As1,CYPRUS,2011,Subsector,1. Energy,
4.  Other sectors,613.11433,0.2527955,0.00575255,,Summary1.As1,CYPRUS,2011,Subsector,1. Energy,
5.  Other,26.6257,0.00703,0.00022555,,Summary1.As1,CYPRUS,2011,Subsector,1. Energy,
A.  Mineral industry,571.8265,,,,Summary1.As1,CYPRUS,2011,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,3.525421313,,,,Summary1.As1,CYPRUS,2011,Subsector,1. Energy,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,2011,Subsector,1. Energy,216.37043054933056
A. Fuel combustion     Reference approach(2),6508.311755000006,,,,Summary1.As1,CYPRUS,2012,Subsector,1. Energy,
                                           Sectoral approach(2),6731.624919117458,0.60451470413078,0.07737162993878,,Summary1.As1,CYPRUS,2012,Subsector,1. Energy,
1.  Energy industries,3545.93,0.13946,0.027328,,Summary1.As1,CYPRUS,2012,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,458.916255,0.02005730833333,0.00368408166667,,Summary1.As1,CYPRUS,2012,Subsector,1. Energy,
3.  Transport,2115.636124117458,0.16386239579745,0.04026101827211,,Summary1.As1,CYPRUS,2012,Subsector,1. Energy,
4.  Other sectors,590.85614,0.274975,0.00592518,,Summary1.As1,CYPRUS,2012,Subsector,1. Energy,
5.  Other,20.2864,0.00616,0.00017335,,Summary1.As1,CYPRUS,2012,Subsector,1. Energy,
A.  Mineral industry,527.6432,,,,Summary1.As1,CYPRUS,2012,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,2.952916151,,,,Summary1.As1,CYPRUS,2012,Subsector,1. Energy,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,2012,Subsector,1. Energy,221.1739876399241
A. Fuel combustion     Reference approach(2),5601.289485000005,,,,Summary1.As1,CYPRUS,2013,Subsector,1. Energy,
                                           Sectoral approach(2),5814.268346324184,0.53435356468116,0.06723686725993,,Summary1.As1,CYPRUS,2013,Subsector,1. Energy,
1.  Energy industries,2829.73,0.11113,0.022284,,Summary1.As1,CYPRUS,2013,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,538.27244,0.02462035,0.00444362,,Summary1.As1,CYPRUS,2013,Subsector,1. Energy,
3.  Transport,1907.247816324184,0.14627071468116,0.03516556725993,,Summary1.As1,CYPRUS,2013,Subsector,1. Energy,
4.  Other sectors,512.59406,0.245496,0.0051392,,Summary1.As1,CYPRUS,2013,Subsector,1. Energy,
5.  Other,26.42403,0.0068365,0.00020448,,Summary1.As1,CYPRUS,2013,Subsector,1. Energy,
B. Fugitive emissions from fuels,,,,,Summary1.As1,CYPRUS,2013,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,,,,,Summary1.As1,CYPRUS,2013,Subsector,1. Energy,
A.  Mineral industry,765.1841,,,,Summary1.As1,CYPRUS,2013,Subsector,1. Energy,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,2013,Subsector,2.  Industrial processes and product use,225.67344563184545
G.  Other product manufacture and use ,,,0.02168166,0.0006628812,Summary1.As1,CYPRUS,2013,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),5823.631341726299,,,,Summary1.As1,CYPRUS,2014,Subsector,1. Energy,
                                           Sectoral approach(2),5962.224953417018,0.50909738273948,0.06774761638992,,Summary1.As1,CYPRUS,2014,Subsector,1. Energy,
1.  Energy industries,2940.32,0.11474,0.023232,,Summary1.As1,CYPRUS,2014,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,693.2373799999999,0.0425728792,0.00707531188,,Summary1.As1,CYPRUS,2014,Subsector,1. Energy,
3.  Transport,1840.7955834170184,0.14030500353948,0.03285741450992,,Summary1.As1,CYPRUS,2014,Subsector,1. Energy,
4.  Other sectors,449.90466,0.206493,0.00429306,,Summary1.As1,CYPRUS,2014,Subsector,1. Energy,
5.  Other,37.96733,0.0049865,0.00028983,,Summary1.As1,CYPRUS,2014,Subsector,1. Energy,
A.  Mineral industry,985.7919,,,,Summary1.As1,CYPRUS,2014,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,2.376305652,,,,Summary1.As1,CYPRUS,2014,Subsector,1. Energy,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,2014,Subsector,1. Energy,233.1802231400783
A. Fuel combustion     Reference approach(2),5876.502355948131,,,,Summary1.As1,CYPRUS,2015,Subsector,1. Energy,
                                           Sectoral approach(2),6080.586598856617,0.62853009650617,0.0718570958069,,Summary1.As1,CYPRUS,2015,Subsector,1. Energy,
1.  Energy industries,3023.0,0.11982,0.023376,,Summary1.As1,CYPRUS,2015,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,600.15824,0.04912216825,0.0077124863625,,Summary1.As1,CYPRUS,2015,Subsector,1. Energy,
3.  Transport,1910.438128856617,0.13901542825617,0.0345590994444,,Summary1.As1,CYPRUS,2015,Subsector,1. Energy,
4.  Other sectors,521.7348,0.317316,0.00602348,,Summary1.As1,CYPRUS,2015,Subsector,1. Energy,
5.  Other,25.25543,0.0032565,0.00018603,,Summary1.As1,CYPRUS,2015,Subsector,1. Energy,
A.  Mineral industry,888.1243999999999,,,,Summary1.As1,CYPRUS,2015,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,2.466197879,,,,Summary1.As1,CYPRUS,2015,Subsector,1. Energy,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,2015,Subsector,1. Energy,246.6541104292178
A. Fuel combustion     Reference approach(2),6269.879737753964,,,,Summary1.As1,CYPRUS,2016,Subsector,1. Energy,
                                           Sectoral approach(2),6474.201750950236,0.6472347726104,0.077638191547,,Summary1.As1,CYPRUS,2016,Subsector,1. Energy,
1.  Energy industries,3300.0,0.13189,0.026022,,Summary1.As1,CYPRUS,2016,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,596.0270899999999,0.05411844925,0.0083694870125,,Summary1.As1,CYPRUS,2016,Subsector,1. Energy,
3.  Transport,2037.635300950236,0.1414463233604,0.0371384845345,,Summary1.As1,CYPRUS,2016,Subsector,1. Energy,
4.  Other sectors,515.28393,0.3165235,0.00592219,,Summary1.As1,CYPRUS,2016,Subsector,1. Energy,
5.  Other,25.25543,0.0032565,0.00018603,,Summary1.As1,CYPRUS,2016,Subsector,1. Energy,
A.  Mineral industry,896.4155999999999,,,,Summary1.As1,CYPRUS,2016,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,2.658336712,,,,Summary1.As1,CYPRUS,2016,Subsector,1. Energy,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,2016,Subsector,1. Energy,267.01636952878306
A. Fuel combustion     Reference approach(2),6510.063211979073,,,,Summary1.As1,CYPRUS,2017,Subsector,1. Energy,
                                           Sectoral approach(2),6562.047469070235,0.71669214561555,0.08321470456087,,Summary1.As1,CYPRUS,2017,Subsector,1. Energy,
1.  Energy industries,3287.83,0.13266,0.026188,,Summary1.As1,CYPRUS,2017,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,615.71205161,0.0732134011,0.01091295791,,Summary1.As1,CYPRUS,2017,Subsector,1. Energy,
3.  Transport,2109.6527774602355,0.13744464601555,0.03928113106087,,Summary1.As1,CYPRUS,2017,Subsector,1. Energy,
4.  Other sectors,523.44490435,0.370145009,0.00665131012,,Summary1.As1,CYPRUS,2017,Subsector,1. Energy,
5.  Other,25.40773565,0.0032290895,0.00018130547,,Summary1.As1,CYPRUS,2017,Subsector,1. Energy,
A.  Mineral industry,938.9138,,,,Summary1.As1,CYPRUS,2017,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,2.432701091,,,,Summary1.As1,CYPRUS,2017,Subsector,1. Energy,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,2017,Subsector,1. Energy,287.91200588053846
A. Fuel combustion     Reference approach(2),6505.299884109176,,,,Summary1.As1,CYPRUS,2018,Subsector,1. Energy,
                                           Sectoral approach(2),6450.8210158819165,0.71613608918908,0.08523417543605,,Summary1.As1,CYPRUS,2018,Subsector,1. Energy,
1.  Energy industries,3342.3599,0.13270420940478,0.02631768188096,,Summary1.As1,CYPRUS,2018,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,549.59821155,0.0882155845,0.01274582595,,Summary1.As1,CYPRUS,2018,Subsector,1. Energy,
3.  Transport,2079.9965385019163,0.1313298102843,0.03978800638509,,Summary1.As1,CYPRUS,2018,Subsector,1. Energy,
4.  Other sectors,452.27229997000006,0.360427035,0.00618372174,,Summary1.As1,CYPRUS,2018,Subsector,1. Energy,
5.  Other,26.59406586,0.00345945,0.00019893948,,Summary1.As1,CYPRUS,2018,Subsector,1. Energy,
A.  Mineral industry,868.23732111124,,,,Summary1.As1,CYPRUS,2018,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,2.438194104,,,,Summary1.As1,CYPRUS,2018,Subsector,1. Energy,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,2018,Subsector,1. Energy,308.0521199096325
A. Fuel combustion     Reference approach(2),6361.575165734185,,,,Summary1.As1,CYPRUS,2019,Subsector,1. Energy,
                                           Sectoral approach(2),6522.742166867059,0.74624401218825,0.08708390207385,,Summary1.As1,CYPRUS,2019,Subsector,1. Energy,
1.  Energy industries,3282.0565,0.12979064907963,0.02577224981593,,Summary1.As1,CYPRUS,2019,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,559.88119995,0.0941120034,0.01347897897,,Summary1.As1,CYPRUS,2019,Subsector,1. Energy,
3.  Transport,2124.793218327058,0.13443412870862,0.04071887672792,,Summary1.As1,CYPRUS,2019,Subsector,1. Energy,
4.  Other sectors,530.2062875400001,0.384613061,0.00692797136,,Summary1.As1,CYPRUS,2019,Subsector,1. Energy,
5.  Other,25.80496105,0.00329417,0.0001858252,,Summary1.As1,CYPRUS,2019,Subsector,1. Energy,
A.  Mineral industry,814.38850395952,,,,Summary1.As1,CYPRUS,2019,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,4.9790342856,,,,Summary1.As1,CYPRUS,2019,Subsector,1. Energy,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,2019,Subsector,1. Energy,332.26537408977345
A. Fuel combustion     Reference approach(2),5870.705802414649,,,,Summary1.As1,CYPRUS,2020,Subsector,1. Energy,
                                           Sectoral approach(2),6003.616182584364,0.7265119643937,0.09054340396854,,Summary1.As1,CYPRUS,2020,Subsector,1. Energy,
1.  Energy industries,3023.1086766,0.12048894750939,0.02393760950188,,Summary1.As1,CYPRUS,2020,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,554.091896475,0.1126095626468,0.0160357714888,,Summary1.As1,CYPRUS,2020,Subsector,1. Energy,
3.  Transport,1901.918280169364,0.10279650203551,0.04357600545486,,Summary1.As1,CYPRUS,2020,Subsector,1. Energy,
4.  Other sectors,498.01459448,0.387217715202,0.006780837703,,Summary1.As1,CYPRUS,2020,Subsector,1. Energy,
5.  Other,26.48273486,0.003399237,0.00021317982,,Summary1.As1,CYPRUS,2020,Subsector,1. Energy,
A.  Mineral industry,902.15011222316,,,,Summary1.As1,CYPRUS,2020,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,4.9221074488,,,,Summary1.As1,CYPRUS,2020,Subsector,1. Energy,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,2020,Subsector,1. Energy,335.68389722515053
A. Fuel combustion     Reference approach(2),5912.40102879744,,,,Summary1.As1,CYPRUS,2021,Subsector,1. Energy,
                                           Sectoral approach(2),6127.040207248501,0.73756481234228,0.09323205131899,,Summary1.As1,CYPRUS,2021,Subsector,1. Energy,
1.  Energy industries,3077.6882,0.1224664994571,0.02431210189142,,Summary1.As1,CYPRUS,2021,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,522.07010574,0.1310761357088,0.018425121206,,Summary1.As1,CYPRUS,2021,Subsector,1. Energy,
3.  Transport,2036.2592760485013,0.11616294666078,0.04395687352817,,Summary1.As1,CYPRUS,2021,Subsector,1. Energy,
4.  Other sectors,468.09651024,0.3649115541156,0.0063376053334,,Summary1.As1,CYPRUS,2021,Subsector,1. Energy,
5.  Other,22.92611522,0.0029476764,0.00020034936,,Summary1.As1,CYPRUS,2021,Subsector,1. Energy,
A.  Mineral industry,896.9870613866,,,,Summary1.As1,CYPRUS,2021,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,5.03175658867973,,,,Summary1.As1,CYPRUS,2021,Subsector,1. Energy,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,2021,Subsector,1. Energy,353.48764662207435
A.  Enteric fermentation,,7.87884,,,Summary1.As2,CYPRUS,1990,Subsector,3.  Agriculture,
B.  Manure management,,4.06824288269738,0.21916550050828,,Summary1.As2,CYPRUS,1990,Subsector,3.  Agriculture,
D.  Agricultural soils,,,0.21472670538109,,Summary1.As2,CYPRUS,1990,Subsector,3.  Agriculture,
F.  Field burning of agricultural residues,,0.0847782171225,0.00219795377725,,Summary1.As2,CYPRUS,1990,Subsector,3.  Agriculture,
H. Urea application,1.815,,,,Summary1.As2,CYPRUS,1990,Subsector,3.  Agriculture,
J.  Other ,,,,,Summary1.As2,CYPRUS,1990,Subsector,3.  Agriculture,
A. Forest land (4),1.45548078150853,0.00116954679548,6.469833337e-05,,Summary1.As2,CYPRUS,1990,Subsector,3.  Agriculture,
B. Cropland (4),-134.23608067702204,,2.0721096e-05,,Summary1.As2,CYPRUS,1990,Subsector,3.  Agriculture,
C. Grassland (4),-23.0546445612327,,,,Summary1.As2,CYPRUS,1990,Subsector,3.  Agriculture,
F. Other land (4),0.107723088,,1.04082e-05,,Summary1.As2,CYPRUS,1990,Subsector,"4.  Land use, land-use change and forestry  (4)",
G. Harvested wood products ,2.13699836271381,,,,Summary1.As2,CYPRUS,1990,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Solid waste disposal (5),,10.5487652044278,,,Summary1.As2,CYPRUS,1990,Subsector,"4.  Land use, land-use change and forestry  (4)",
C.  Incineration and open burning of waste (5),,,,,Summary1.As2,CYPRUS,1990,Subsector,"4.  Land use, land-use change and forestry  (4)",
D.  Wastewater treatment and discharge,,4.64372,0.03696316833571,,Summary1.As2,CYPRUS,1990,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Enteric fermentation,,8.01637,,,Summary1.As2,CYPRUS,1991,Subsector,3.  Agriculture,
B.  Manure management,,4.29270058573654,0.21910848238709,,Summary1.As2,CYPRUS,1991,Subsector,3.  Agriculture,
D.  Agricultural soils,,,0.20640489020549,,Summary1.As2,CYPRUS,1991,Subsector,3.  Agriculture,
F.  Field burning of agricultural residues,,0.0556472037492,0.00144270528239,,Summary1.As2,CYPRUS,1991,Subsector,3.  Agriculture,
H. Urea application,1.4667,,,,Summary1.As2,CYPRUS,1991,Subsector,3.  Agriculture,
J.  Other ,,,,,Summary1.As2,CYPRUS,1991,Subsector,3.  Agriculture,
A. Forest land (4),-18.39260803735137,0.00357434526259,0.00019772973793,,Summary1.As2,CYPRUS,1991,Subsector,3.  Agriculture,
B. Cropland (4),-134.78094182902208,,4.1442192e-05,,Summary1.As2,CYPRUS,1991,Subsector,3.  Agriculture,
C. Grassland (4),-23.5320104937927,,,,Summary1.As2,CYPRUS,1991,Subsector,3.  Agriculture,
F. Other land (4),0.136815888,,2.08164e-05,,Summary1.As2,CYPRUS,1991,Subsector,"4.  Land use, land-use change and forestry  (4)",
G. Harvested wood products ,8.96714803460508,,,,Summary1.As2,CYPRUS,1991,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Solid waste disposal (5),,10.73983321419381,,,Summary1.As2,CYPRUS,1991,Subsector,"4.  Land use, land-use change and forestry  (4)",
C.  Incineration and open burning of waste (5),,,,,Summary1.As2,CYPRUS,1991,Subsector,"4.  Land use, land-use change and forestry  (4)",
D.  Wastewater treatment and discharge,,4.64075,0.03792611347857,,Summary1.As2,CYPRUS,1991,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Enteric fermentation,,8.02089,,,Summary1.As2,CYPRUS,1992,Subsector,3.  Agriculture,
B.  Manure management,,4.82639303283043,0.22714757005159,,Summary1.As2,CYPRUS,1992,Subsector,3.  Agriculture,
D.  Agricultural soils,,,0.24565522611388,,Summary1.As2,CYPRUS,1992,Subsector,3.  Agriculture,
F.  Field burning of agricultural residues,,0.11791087678125,0.0030569486573,,Summary1.As2,CYPRUS,1992,Subsector,3.  Agriculture,
H. Urea application,1.9177,,,,Summary1.As2,CYPRUS,1992,Subsector,3.  Agriculture,
J.  Other ,,,,,Summary1.As2,CYPRUS,1992,Subsector,3.  Agriculture,
A. Forest land (4),-23.59061433144594,0.00114301609288,6.323067748e-05,,Summary1.As2,CYPRUS,1992,Subsector,3.  Agriculture,
B. Cropland (4),-135.32580298102215,,6.2163288e-05,,Summary1.As2,CYPRUS,1992,Subsector,3.  Agriculture,
C. Grassland (4),-24.0093803572071,,,,Summary1.As2,CYPRUS,1992,Subsector,3.  Agriculture,
F. Other land (4),0.165908688,,3.12246e-05,,Summary1.As2,CYPRUS,1992,Subsector,"4.  Land use, land-use change and forestry  (4)",
G. Harvested wood products ,9.60393993830909,,,,Summary1.As2,CYPRUS,1992,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Solid waste disposal (5),,10.9434103509483,,,Summary1.As2,CYPRUS,1992,Subsector,"4.  Land use, land-use change and forestry  (4)",
C.  Incineration and open burning of waste (5),,,,,Summary1.As2,CYPRUS,1992,Subsector,"4.  Land use, land-use change and forestry  (4)",
D.  Wastewater treatment and discharge,,4.72648,0.03895317702857,,Summary1.As2,CYPRUS,1992,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Enteric fermentation,,8.37262,,,Summary1.As2,CYPRUS,1993,Subsector,3.  Agriculture,
B.  Manure management,,5.20404722405968,0.24027648651388,,Summary1.As2,CYPRUS,1993,Subsector,3.  Agriculture,
D.  Agricultural soils,,,0.26180884582696,,Summary1.As2,CYPRUS,1993,Subsector,3.  Agriculture,
F.  Field burning of agricultural residues,,0.12583403095905,0.00326236376561,,Summary1.As2,CYPRUS,1993,Subsector,3.  Agriculture,
H. Urea application,1.6023,,,,Summary1.As2,CYPRUS,1993,Subsector,3.  Agriculture,
J.  Other ,,,,,Summary1.As2,CYPRUS,1993,Subsector,3.  Agriculture,
A. Forest land (4),-12.20268623340706,0.00908959769873,0.00050282880887,,Summary1.As2,CYPRUS,1993,Subsector,3.  Agriculture,
B. Cropland (4),-135.87066413302205,,8.2884384e-05,,Summary1.As2,CYPRUS,1993,Subsector,3.  Agriculture,
C. Grassland (4),-24.4867502206215,,,,Summary1.As2,CYPRUS,1993,Subsector,3.  Agriculture,
F. Other land (4),0.195001488,,4.16328e-05,,Summary1.As2,CYPRUS,1993,Subsector,"4.  Land use, land-use change and forestry  (4)",
G. Harvested wood products ,-3.27822453945347,,,,Summary1.As2,CYPRUS,1993,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Solid waste disposal (5),,11.17522147184537,,,Summary1.As2,CYPRUS,1993,Subsector,"4.  Land use, land-use change and forestry  (4)",
C.  Incineration and open burning of waste (5),,,,,Summary1.As2,CYPRUS,1993,Subsector,"4.  Land use, land-use change and forestry  (4)",
D.  Wastewater treatment and discharge,,4.8614,0.04064402819286,,Summary1.As2,CYPRUS,1993,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Enteric fermentation,,8.50534,,,Summary1.As2,CYPRUS,1994,Subsector,3.  Agriculture,
B.  Manure management,,5.13336986593844,0.23805423992844,,Summary1.As2,CYPRUS,1994,Subsector,3.  Agriculture,
D.  Agricultural soils,,,0.24007352913343,,Summary1.As2,CYPRUS,1994,Subsector,3.  Agriculture,
F.  Field burning of agricultural residues,,0.09856003417065,0.00255526014516,,Summary1.As2,CYPRUS,1994,Subsector,3.  Agriculture,
H. Urea application,1.7035,,,,Summary1.As2,CYPRUS,1994,Subsector,3.  Agriculture,
J.  Other ,,,,,Summary1.As2,CYPRUS,1994,Subsector,3.  Agriculture,
A. Forest land (4),-24.0933003827752,0.02339389234313,0.00129413021473,,Summary1.As2,CYPRUS,1994,Subsector,3.  Agriculture,
B. Cropland (4),-136.41552528502206,,0.00010360548,,Summary1.As2,CYPRUS,1994,Subsector,3.  Agriculture,
C. Grassland (4),-24.9641161531815,,,,Summary1.As2,CYPRUS,1994,Subsector,3.  Agriculture,
F. Other land (4),0.224094288,,5.2041e-05,,Summary1.As2,CYPRUS,1994,Subsector,"4.  Land use, land-use change and forestry  (4)",
G. Harvested wood products ,0.45761134525777,,,,Summary1.As2,CYPRUS,1994,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Solid waste disposal (5),,11.41423483135221,,,Summary1.As2,CYPRUS,1994,Subsector,"4.  Land use, land-use change and forestry  (4)",
C.  Incineration and open burning of waste (5),,,,,Summary1.As2,CYPRUS,1994,Subsector,"4.  Land use, land-use change and forestry  (4)",
D.  Wastewater treatment and discharge,,5.07618,0.0415306023,,Summary1.As2,CYPRUS,1994,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Enteric fermentation,,8.87926,,,Summary1.As2,CYPRUS,1995,Subsector,3.  Agriculture,
B.  Manure management,,5.38816554152528,0.24567536002202,,Summary1.As2,CYPRUS,1995,Subsector,3.  Agriculture,
D.  Agricultural soils,,,0.2813989811031,,Summary1.As2,CYPRUS,1995,Subsector,3.  Agriculture,
F.  Field burning of agricultural residues,,0.08900419998952,0.00230751629603,,Summary1.As2,CYPRUS,1995,Subsector,3.  Agriculture,
H. Urea application,1.5407,,,,Summary1.As2,CYPRUS,1995,Subsector,3.  Agriculture,
J.  Other ,,,,,Summary1.As2,CYPRUS,1995,Subsector,3.  Agriculture,
A. Forest land (4),-19.16145237502171,0.00914014870876,0.00050562524772,,Summary1.As2,CYPRUS,1995,Subsector,3.  Agriculture,
B. Cropland (4),-136.96038643702204,,0.000124326576,,Summary1.As2,CYPRUS,1995,Subsector,3.  Agriculture,
C. Grassland (4),-25.4414860165959,,,,Summary1.As2,CYPRUS,1995,Subsector,3.  Agriculture,
F. Other land (4),0.253187088,,6.24492e-05,,Summary1.As2,CYPRUS,1995,Subsector,"4.  Land use, land-use change and forestry  (4)",
G. Harvested wood products ,0.45031556556082,,,,Summary1.As2,CYPRUS,1995,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Solid waste disposal (5),,11.66992987149902,,,Summary1.As2,CYPRUS,1995,Subsector,"4.  Land use, land-use change and forestry  (4)",
