GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,1993.7734187738777,0.37204622050568,0.08492512636938,,,,Summary1.As1,ICELAND,2010,Sector
2.  Industrial processes and product use,1623.3479159700453,0.103720062803,0.013022711006,109.9186944407367,154.368756837754,0.000204567755,Summary1.As1,ICELAND,2010,Sector
1. Energy,1875.516964646918,0.31443402834903,0.07816139301944,,,,Summary1.As1,ICELAND,2011,Sector
2.  Industrial processes and product use,1617.8359182467643,0.106698948555,0.01339452341,134.7219031002423,67.014875922215,0.0001335700688,Summary1.As1,ICELAND,2011,Sector
1. Energy,1828.143500436796,0.27698167794906,0.0754245584993,,,,Summary1.As1,ICELAND,2012,Sector
2.  Industrial processes and product use,1660.7118182660483,0.119960341918,0.013078067161,140.1614116444271,84.532016056389,0.0002344598453,Summary1.As1,ICELAND,2012,Sector
1. Energy,1792.878547937734,0.29905834559157,0.07270116331465,,,,Summary1.As1,ICELAND,2013,Sector
2.  Industrial processes and product use,1686.7157231098447,0.120887042108,0.011558813361,170.5403393698384,79.28447233614,0.0001414718258,Summary1.As1,ICELAND,2013,Sector
1. Energy,1779.3433113935644,0.31707981370807,0.07806672668185,,,,Summary1.As1,ICELAND,2014,Sector
2.  Industrial processes and product use,1655.203988065049,0.109123187866,0.010703717122,168.563164258772,89.054703903899,0.000104611877,Summary1.As1,ICELAND,2014,Sector
1. Energy,1823.673717623844,0.32215623584386,0.07946492795482,,,,Summary1.As1,ICELAND,2015,Sector
2.  Industrial processes and product use,1707.7712498322785,0.11932658108,0.01084452647,161.3711704009821,93.249968112662,6.95530063e-05,Summary1.As1,ICELAND,2015,Sector
1. Energy,1798.7441002715254,0.2691643722987,0.08537977857003,,,,Summary1.As1,ICELAND,2016,Sector
2.  Industrial processes and product use,1684.4079314334665,0.121041278387,0.008767216574,179.2121876936576,82.564137009662,5.8972911e-05,Summary1.As1,ICELAND,2016,Sector
1. Energy,1839.53289950848,0.25635759984973,0.08879971235424,,,,Summary1.As1,ICELAND,2017,Sector
2.  Industrial processes and product use,1759.83186547165,0.12627455662,0.00811024564,170.4505007060629,61.116994403634,0.0001196235773,Summary1.As1,ICELAND,2017,Sector
