GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
B.  Chemical industry,1785.6182478401415,0.415983,1.95357,,,Summary1.As1,BULGARIA,2007,Subsector,2.  Industrial processes and product use
C.  Metal industry,2242.175323549372,0.980593,,,,Summary1.As1,BULGARIA,2007,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,27.6364,,,,,Summary1.As1,BULGARIA,2007,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,282.33537447737655,,Summary1.As1,BULGARIA,2007,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,24.7946971441754,,0.08216536246921,,0.00038659120305,Summary1.As1,BULGARIA,2007,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,Summary1.As1,BULGARIA,2007,Subsector,2.  Industrial processes and product use
