GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
B.  Chemical industry,3473.061672351013,0.6972137852,6.48330820387352,,Summary1.As1,BULGARIA,1988,Subsector,2.  Industrial processes and product use
C.  Metal industry,3989.6695469299393,1.388084,,,Summary1.As1,BULGARIA,1988,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,138.5692,,,,Summary1.As1,BULGARIA,1988,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,26.72635669312132,,0.10940685466747,0.00014473741768,Summary1.As1,BULGARIA,1988,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,Summary1.As1,BULGARIA,1988,Subsector,2.  Industrial processes and product use
