GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
D. Wetlands (4),230.971263580618,,0.08850334889245,Summary1.As2,BULGARIA,2017,Subsector,"4.  Land use, land-use change and forestry  (4)"
E. Settlements (4),697.8638115605348,,0.21477927158081,Summary1.As2,BULGARIA,2017,Subsector,"4.  Land use, land-use change and forestry  (4)"
G. Harvested wood products ,-1356.2947769926438,,,Summary1.As2,BULGARIA,2017,Subsector,"4.  Land use, land-use change and forestry  (4)"
A.  Solid waste disposal (5),,90.80270860580742,,Summary1.As2,BULGARIA,2017,Subsector,"4.  Land use, land-use change and forestry  (4)"
B.  Biological treatment of solid waste (5),,0.958846528,0.05712,Summary1.As2,BULGARIA,2017,Subsector,"4.  Land use, land-use change and forestry  (4)"
C.  Incineration and open burning of waste (5),14.71641292,5.5720626e-05,0.00386384735,Summary1.As2,BULGARIA,2017,Subsector,"4.  Land use, land-use change and forestry  (4)"
D.  Wastewater treatment and discharge,,18.69983290595231,0.48397404754798,Summary1.As2,BULGARIA,2017,Subsector,"4.  Land use, land-use change and forestry  (4)"
