GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
D. Wetlands (4),109.8530278238328,,0.03676804107518,Summary1.As2,BULGARIA,1996,Subsector,"4.  Land use, land-use change and forestry  (4)"
E. Settlements (4),405.3525753286555,,0.15291427778011,Summary1.As2,BULGARIA,1996,Subsector,"4.  Land use, land-use change and forestry  (4)"
G. Harvested wood products ,234.25993931869286,,,Summary1.As2,BULGARIA,1996,Subsector,"4.  Land use, land-use change and forestry  (4)"
A.  Solid waste disposal (5),,92.30896238894631,,Summary1.As2,BULGARIA,1996,Subsector,"4.  Land use, land-use change and forestry  (4)"
C.  Incineration and open burning of waste (5),20.59626485230769,7.795407854e-05,0.00540961732115,Summary1.As2,BULGARIA,1996,Subsector,"4.  Land use, land-use change and forestry  (4)"
D.  Wastewater treatment and discharge,,65.95106539956707,0.55718762006952,Summary1.As2,BULGARIA,1996,Subsector,"4.  Land use, land-use change and forestry  (4)"
