GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
A.  Enteric fermentation,,87.54610862501234,,Summary1.As2,BULGARIA,1999,Subsector,3.  Agriculture
B.  Manure management,,11.63972863064008,1.36250540453983,Summary1.As2,BULGARIA,1999,Subsector,3.  Agriculture
C.  Rice cultivation,,0.51046532390184,,Summary1.As2,BULGARIA,1999,Subsector,3.  Agriculture
D.  Agricultural soils,,,7.89079506949327,Summary1.As2,BULGARIA,1999,Subsector,3.  Agriculture
F.  Field burning of agricultural residues,,0.57437360233899,0.01368603466052,Summary1.As2,BULGARIA,1999,Subsector,3.  Agriculture
G. Liming,26.21774560319031,,,Summary1.As2,BULGARIA,1999,Subsector,3.  Agriculture
H. Urea application,16.11449374744568,,,Summary1.As2,BULGARIA,1999,Subsector,3.  Agriculture
A. Forest land (4),-15188.734372830697,0.77156046,0.28416356137913,Summary1.As2,BULGARIA,1999,Subsector,3.  Agriculture
B. Cropland (4),-262.31817828207954,,0.03915568881565,Summary1.As2,BULGARIA,1999,Subsector,3.  Agriculture
