GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),73857.035707836,,,,Summary1.As1,BULGARIA,1990,Subsector,1. Energy
                                           Sectoral approach(2),68148.24123614898,15.54038181677165,1.68565102196497,,Summary1.As1,BULGARIA,1990,Subsector,1. Energy
1.  Energy industries,36400.709918019704,0.521712965,0.4170235375,,Summary1.As1,BULGARIA,1990,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,17663.932198186514,0.83546300158915,0.26193063273483,,Summary1.As1,BULGARIA,1990,Subsector,1. Energy
3.  Transport,6344.370182606308,2.74927601880923,0.35534808072486,,Summary1.As1,BULGARIA,1990,Subsector,1. Energy
4.  Other sectors,7653.500101446729,11.43333032902439,0.64895076160976,,Summary1.As1,BULGARIA,1990,Subsector,1. Energy
5.  Other,85.72883588973805,0.00059950234888,0.00239800939552,,Summary1.As1,BULGARIA,1990,Subsector,1. Energy
B. Fugitive emissions from fuels,124.58027461592066,84.18565195937526,0.00084884444289,,Summary1.As1,BULGARIA,1990,Subsector,1. Energy
1.  Solid fuels,64.3026272,77.84825261555159,,,Summary1.As1,BULGARIA,1990,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,60.27764741592065,6.33739934382367,0.00084884444289,,Summary1.As1,BULGARIA,1990,Subsector,1. Energy
