GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),82219.41556389119,,,,Summary1.As1,BULGARIA,1989,Subsector,1. Energy
                                           Sectoral approach(2),77460.64078054094,18.21552034569343,1.76419804497824,,Summary1.As1,BULGARIA,1989,Subsector,1. Energy
1.  Energy industries,41685.12597074679,0.723229642,0.456740463,,Summary1.As1,BULGARIA,1989,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,16913.15555246907,1.23670946597909,0.34106342257334,,Summary1.As1,BULGARIA,1989,Subsector,1. Energy
3.  Transport,7345.4450993417895,3.05689237308232,0.2212748740762,,Summary1.As1,BULGARIA,1989,Subsector,1. Energy
4.  Other sectors,6146.027939852469,13.008158575,0.70897618,,Summary1.As1,BULGARIA,1989,Subsector,1. Energy
5.  Other,5370.886218130827,0.19053028963202,0.0361431053287,,Summary1.As1,BULGARIA,1989,Subsector,1. Energy
B. Fugitive emissions from fuels,163.4267016955755,89.70722383863313,0.00134431228306,,Summary1.As1,BULGARIA,1989,Subsector,1. Energy
1.  Solid fuels,69.11623206400002,83.52501445193487,,,Summary1.As1,BULGARIA,1989,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,94.3104696315755,6.18220938669826,0.00134431228306,,Summary1.As1,BULGARIA,1989,Subsector,1. Energy
