GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
D. Wetlands (4),201.29040882895546,,0.07237845757589,Summary1.As2,BULGARIA,2008,Subsector,"4.  Land use, land-use change and forestry  (4)"
E. Settlements (4),773.1838417656218,,0.19111972816257,Summary1.As2,BULGARIA,2008,Subsector,"4.  Land use, land-use change and forestry  (4)"
G. Harvested wood products ,-892.7092806228214,,,Summary1.As2,BULGARIA,2008,Subsector,"4.  Land use, land-use change and forestry  (4)"
A.  Solid waste disposal (5),,103.95119160975084,,Summary1.As2,BULGARIA,2008,Subsector,"4.  Land use, land-use change and forestry  (4)"
C.  Incineration and open burning of waste (5),42.3934412,0.00015818994,0.0112882495,Summary1.As2,BULGARIA,2008,Subsector,"4.  Land use, land-use change and forestry  (4)"
D.  Wastewater treatment and discharge,,25.95739476073933,0.48785078838111,Summary1.As2,BULGARIA,2008,Subsector,"4.  Land use, land-use change and forestry  (4)"
