GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),15998.686958023198,,,,,Summary1.As1,EST,2002,Subsector,1. Energy
                                           Sectoral approach(2),14902.149420503847,1.62431454363131,0.19067950029636,,,Summary1.As1,EST,2002,Subsector,1. Energy
1.  Energy industries,11285.102487932734,0.07301876526454,0.02008210789627,,,Summary1.As1,EST,2002,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,810.2723295654148,0.05578867551847,0.00988754428478,,,Summary1.As1,EST,2002,Subsector,1. Energy
3.  Transport,2076.2839367394627,0.47276730381853,0.13550101306419,,,Summary1.As1,EST,2002,Subsector,1. Energy
4.  Other sectors,730.4906662662349,1.02273979902977,0.02520883505112,,,Summary1.As1,EST,2002,Subsector,1. Energy
B. Fugitive emissions from fuels,0.04737445493681,1.2476939023008,,,,Summary1.As1,EST,2002,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.04737445493681,1.2476939023008,,,,Summary1.As1,EST,2002,Subsector,1. Energy
A.  Mineral industry,391.0053370260693,,,,,Summary1.As1,EST,2002,Subsector,1. Energy
B.  Chemical industry,31.32567525974732,,,,,Summary1.As1,EST,2002,Subsector,1. Energy
