GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),17921.925478895937,,,,,Summary1.As1,EST,2004,Subsector,1. Energy
                                           Sectoral approach(2),16701.00319232018,1.56108449179952,0.17940722281426,,,Summary1.As1,EST,2004,Subsector,1. Energy
1.  Energy industries,12897.978240919661,0.05992541642631,0.02417607241677,,,Summary1.As1,EST,2004,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,991.2039347015962,0.0724816032211,0.01274767557355,,,Summary1.As1,EST,2004,Subsector,1. Energy
3.  Transport,2047.1359490850753,0.3807083267041,0.11587103462782,,,Summary1.As1,EST,2004,Subsector,1. Energy
4.  Other sectors,764.6850676138454,1.04796914544801,0.02661244019612,,,Summary1.As1,EST,2004,Subsector,1. Energy
B. Fugitive emissions from fuels,0.0615932871575,1.6221731503104,,,,Summary1.As1,EST,2004,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.0615932871575,1.6221731503104,,,,Summary1.As1,EST,2004,Subsector,1. Energy
A.  Mineral industry,405.3905904238596,,,,,Summary1.As1,EST,2004,Subsector,1. Energy
B.  Chemical industry,184.47285675,,,,,Summary1.As1,EST,2004,Subsector,1. Energy
