GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),19618.909265829316,,,,,Summary1.As1,EST,1996,Subsector,1. Energy
                                           Sectoral approach(2),18429.40783921352,2.44436086728367,0.17013471843822,,,Summary1.As1,EST,1996,Subsector,1. Energy
1.  Energy industries,14457.970814505581,0.06390901105335,0.02224271284914,,,Summary1.As1,EST,1996,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,1583.2664840816524,0.07347109173708,0.01390893747989,,,Summary1.As1,EST,1996,Subsector,1. Energy
3.  Transport,1629.5976688858593,0.53791109711292,0.10148378961333,,,Summary1.As1,EST,1996,Subsector,1. Energy
4.  Other sectors,758.5728717404255,1.76906966738032,0.03249927849586,,,Summary1.As1,EST,1996,Subsector,1. Energy
B. Fugitive emissions from fuels,0.05108416773631,1.34539605096708,,,,Summary1.As1,EST,1996,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.05108416773631,1.34539605096708,,,,Summary1.As1,EST,1996,Subsector,1. Energy
A.  Mineral industry,377.2230385424368,,,,,Summary1.As1,EST,1996,Subsector,1. Energy
B.  Chemical industry,202.81276226668726,,,,,Summary1.As1,EST,1996,Subsector,1. Energy
