GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),20163.366211269516,,,,,Summary1.As1,EST,1993,Subsector,1. Energy
                                           Sectoral approach(2),19107.105861669592,1.78978292245268,0.13368548129896,,,Summary1.As1,EST,1993,Subsector,1. Energy
1.  Energy industries,15167.886527498698,0.06557286810505,0.02544258899551,,,Summary1.As1,EST,1993,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,1810.7878367687874,0.04766603281599,0.01027692371779,,,Summary1.As1,EST,1993,Subsector,1. Energy
3.  Transport,1274.857392669937,0.40883398927578,0.07842890474781,,,Summary1.As1,EST,1993,Subsector,1. Energy
4.  Other sectors,853.5741047321702,1.26771003225586,0.01953706383785,,,Summary1.As1,EST,1993,Subsector,1. Energy
B. Fugitive emissions from fuels,0.02828373466115,0.74490447052275,,,,Summary1.As1,EST,1993,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.02828373466115,0.74490447052275,,,,Summary1.As1,EST,1993,Subsector,1. Energy
A.  Mineral industry,246.0772314244241,,,,,Summary1.As1,EST,1993,Subsector,1. Energy
B.  Chemical industry,57.88067192776548,,,,,Summary1.As1,EST,1993,Subsector,1. Energy
