GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,54636.53672576826,43.62467882644655,1.57221096745328,,,,Summary1.As1,AUT,1991,Sector
2.  Industrial processes and product use,11018.120003403874,1.6201747294615,3.43228212511648,3.25872,1071.83620368,0.02693598431745,Summary1.As1,AUT,1991,Sector
