GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs (1) (kt CO2 equivalent),Sheet,Country,Year,Level,Parent_Sector
A.  Enteric fermentation,,1169.3654062860303,,,Summary1.As2,NEW ZEALAND,2003,Subsector,3.  Agriculture
B.  Manure management,,40.3639182404421,0.23799434349934,,Summary1.As2,NEW ZEALAND,2003,Subsector,3.  Agriculture
D.  Agricultural soils,,,23.34050788802183,,Summary1.As2,NEW ZEALAND,2003,Subsector,3.  Agriculture
F.  Field burning of agricultural residues,,0.98075729292422,0.01711728115498,,Summary1.As2,NEW ZEALAND,2003,Subsector,3.  Agriculture
G. Liming,567.6197106829399,,,,Summary1.As2,NEW ZEALAND,2003,Subsector,3.  Agriculture
H. Urea application,434.1062552272528,,,,Summary1.As2,NEW ZEALAND,2003,Subsector,3.  Agriculture
A. Forest land (4),-26367.198528851277,0.45694362812374,0.98134265503346,,Summary1.As2,NEW ZEALAND,2003,Subsector,3.  Agriculture
B. Cropland (4),523.2090824443928,,0.04407277032324,,Summary1.As2,NEW ZEALAND,2003,Subsector,3.  Agriculture
C. Grassland (4),4227.561336164903,2.78760568314498,0.16582540333846,,Summary1.As2,NEW ZEALAND,2003,Subsector,3.  Agriculture
