GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs (1) (kt CO2 equivalent),Sheet,Country,Year,Level,Parent_Sector
A.  Enteric fermentation,,1119.7380448304104,,,Summary1.As2,NEW ZEALAND,1996,Subsector,3.  Agriculture
B.  Manure management,,34.11767478010931,0.20649744913277,,Summary1.As2,NEW ZEALAND,1996,Subsector,3.  Agriculture
D.  Agricultural soils,,,20.21236608935662,,Summary1.As2,NEW ZEALAND,1996,Subsector,3.  Agriculture
F.  Field burning of agricultural residues,,0.92397605817073,0.01617032943991,,Summary1.As2,NEW ZEALAND,1996,Subsector,3.  Agriculture
G. Liming,399.54296843423,,,,Summary1.As2,NEW ZEALAND,1996,Subsector,3.  Agriculture
H. Urea application,141.8405590062112,,,,Summary1.As2,NEW ZEALAND,1996,Subsector,3.  Agriculture
A. Forest land (4),-19163.003307906794,0.86910177350198,0.98483233539113,,Summary1.As2,NEW ZEALAND,1996,Subsector,3.  Agriculture
B. Cropland (4),482.970261471193,,0.03370947337158,,Summary1.As2,NEW ZEALAND,1996,Subsector,3.  Agriculture
C. Grassland (4),1080.2313394041983,2.64072666785553,0.14706789244527,,Summary1.As2,NEW ZEALAND,1996,Subsector,3.  Agriculture
