GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs (1) (kt CO2 equivalent),Sheet,Country,Year,Level,Parent_Sector
A.  Enteric fermentation,,1117.6069525155924,,,Summary1.As2,NEW ZEALAND,2011,Subsector,3.  Agriculture
B.  Manure management,,52.34997411232794,0.31021171847936,,Summary1.As2,NEW ZEALAND,2011,Subsector,3.  Agriculture
D.  Agricultural soils,,,23.33448097166863,,Summary1.As2,NEW ZEALAND,2011,Subsector,3.  Agriculture
F.  Field burning of agricultural residues,,0.65237419376396,0.0113526672526,,Summary1.As2,NEW ZEALAND,2011,Subsector,3.  Agriculture
G. Liming,522.7044811999999,,,,Summary1.As2,NEW ZEALAND,2011,Subsector,3.  Agriculture
H. Urea application,497.00224075717244,,,,Summary1.As2,NEW ZEALAND,2011,Subsector,3.  Agriculture
A. Forest land (4),-29899.180102172573,0.56221127614866,0.86103254299717,,Summary1.As2,NEW ZEALAND,2011,Subsector,3.  Agriculture
B. Cropland (4),469.0722770862271,,0.04395976199667,,Summary1.As2,NEW ZEALAND,2011,Subsector,3.  Agriculture
C. Grassland (4),6469.4399525745575,1.99920474298915,0.14710558840982,,Summary1.As2,NEW ZEALAND,2011,Subsector,3.  Agriculture
