GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs (1) (kt CO2 equivalent),Sheet,Country,Year,Level,Parent_Sector
A.  Enteric fermentation,,1124.178525386858,,,Summary1.As2,NEW ZEALAND,1998,Subsector,3.  Agriculture
B.  Manure management,,34.92664692642919,0.21173292453263,,Summary1.As2,NEW ZEALAND,1998,Subsector,3.  Agriculture
D.  Agricultural soils,,,20.2226747405062,,Summary1.As2,NEW ZEALAND,1998,Subsector,3.  Agriculture
F.  Field burning of agricultural residues,,0.94388940266311,0.01648289584564,,Summary1.As2,NEW ZEALAND,1998,Subsector,3.  Agriculture
G. Liming,480.88999416434064,,,,Summary1.As2,NEW ZEALAND,1998,Subsector,3.  Agriculture
H. Urea application,163.88510173252135,,,,Summary1.As2,NEW ZEALAND,1998,Subsector,3.  Agriculture
A. Forest land (4),-22033.631923018733,0.73700600199306,1.02064988176972,,Summary1.As2,NEW ZEALAND,1998,Subsector,3.  Agriculture
B. Cropland (4),489.686497091855,,0.03670558921077,,Summary1.As2,NEW ZEALAND,1998,Subsector,3.  Agriculture
C. Grassland (4),1144.6904419376635,4.08394467323331,0.15684664502612,,Summary1.As2,NEW ZEALAND,1998,Subsector,3.  Agriculture
