GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs (1) (kt CO2 equivalent),Sheet,Country,Year,Level,Parent_Sector
A.  Enteric fermentation,,1105.078569936824,,,Summary1.As2,NEW ZEALAND,2009,Subsector,3.  Agriculture
B.  Manure management,,46.01262642945955,0.27327083368717,,Summary1.As2,NEW ZEALAND,2009,Subsector,3.  Agriculture
D.  Agricultural soils,,,22.40118544073164,,Summary1.As2,NEW ZEALAND,2009,Subsector,3.  Agriculture
F.  Field burning of agricultural residues,,0.83580983862984,0.0145695747782,,Summary1.As2,NEW ZEALAND,2009,Subsector,3.  Agriculture
G. Liming,591.8616322666666,,,,Summary1.As2,NEW ZEALAND,2009,Subsector,3.  Agriculture
H. Urea application,373.9091130012151,,,,Summary1.As2,NEW ZEALAND,2009,Subsector,3.  Agriculture
A. Forest land (4),-31246.602536520113,0.81476086002665,0.8759947111902,,Summary1.As2,NEW ZEALAND,2009,Subsector,3.  Agriculture
B. Cropland (4),476.6479877600103,,0.0483517109047,,Summary1.As2,NEW ZEALAND,2009,Subsector,3.  Agriculture
C. Grassland (4),6907.243330036615,3.06883972881957,0.16397015148141,,Summary1.As2,NEW ZEALAND,2009,Subsector,3.  Agriculture
