GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs (1) (kt CO2 equivalent),Sheet,Country,Year,Level,Parent_Sector
A.  Enteric fermentation,,1126.7733004246072,,,Summary1.As2,NEW ZEALAND,2018,Subsector,3.  Agriculture
B.  Manure management,,63.52472853481377,0.37285579849161,,Summary1.As2,NEW ZEALAND,2018,Subsector,3.  Agriculture
D.  Agricultural soils,,,24.90573373347313,,Summary1.As2,NEW ZEALAND,2018,Subsector,3.  Agriculture
F.  Field burning of agricultural residues,,0.62896074233893,0.01095197451379,,Summary1.As2,NEW ZEALAND,2018,Subsector,3.  Agriculture
G. Liming,408.355247058,,,,Summary1.As2,NEW ZEALAND,2018,Subsector,3.  Agriculture
H. Urea application,608.1884057971015,,,,Summary1.As2,NEW ZEALAND,2018,Subsector,3.  Agriculture
A. Forest land (4),-21219.971458374283,0.68817373701405,0.62594435294987,,Summary1.As2,NEW ZEALAND,2018,Subsector,3.  Agriculture
B. Cropland (4),403.3192023365738,,0.02753426897182,,Summary1.As2,NEW ZEALAND,2018,Subsector,3.  Agriculture
C. Grassland (4),5490.358872837876,2.21793915161667,0.10257929768042,,Summary1.As2,NEW ZEALAND,2018,Subsector,3.  Agriculture
