GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
C.  Metal industry,1872.1574835015867,,,903.789872,0.00012,Summary1.As1,NEW ZEALAND,1991,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,25.10265143319916,,,,,Summary1.As1,NEW ZEALAND,1991,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.32658777735298,,0.000795,Summary1.As1,NEW ZEALAND,1991,Subsector,2.  Industrial processes and product use
