GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),410432.0430730954,,,,,Summary1.As1,CAN,1993,Subsector,1. Energy
                                           Sectoral approach(2),413774.1702922679,200.60919338835103,26.26383780752662,,,Summary1.As1,CAN,1993,Subsector,1. Energy
1.  Energy industries,142938.5902103198,62.65185632780298,2.5722577539374,,,Summary1.As1,CAN,1993,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,67665.643139006,6.28680747125147,1.74872013849475,,,Summary1.As1,CAN,1993,Subsector,1. Energy
3.  Transport,116659.51019410919,30.86115633615265,19.45179497600851,,,Summary1.As1,CAN,1993,Subsector,1. Energy
4.  Other sectors,86279.0569829335,100.80169775946062,2.48461282950563,,,Summary1.As1,CAN,1993,Subsector,1. Energy
5.  Other,231.36976589948085,0.00767549368331,0.00645210958033,,,Summary1.As1,CAN,1993,Subsector,1. Energy
B. Fugitive emissions from fuels,13345.041666200717,1683.8206053334102,0.3075299678464,,,Summary1.As1,CAN,1993,Subsector,1. Energy
1.  Solid fuels,,101.621809177406,,,,Summary1.As1,CAN,1993,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,13345.041666200717,1582.1987961560042,0.3075299678464,,,Summary1.As1,CAN,1993,Subsector,1. Energy
