GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A.  Mineral industry,9000.077210916013,,,,,,Summary1.As1,CAN,2021,Subsector,2.  Industrial processes and product use
B.  Chemical industry,5391.747546804801,5.02869199932002,0.76765157469851,,,,Summary1.As1,CAN,2021,Subsector,2.  Industrial processes and product use
C.  Metal industry,13092.28745301597,0.074751,,,714.2586612,0.00611479367089,Summary1.As1,CAN,2021,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,11039.036118951683,,,,,,Summary1.As1,CAN,2021,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,,11.32419177149037,0.00151200910447,Summary1.As1,CAN,2021,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,11433.412912979837,9.20534844467227,,Summary1.As1,CAN,2021,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,1.84725534254846,,18.09182388947814,0.00669319,Summary1.As1,CAN,2021,Subsector,2.  Industrial processes and product use
