GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
D. Wetlands (4),68.47929558802662,,,Summary1.As2,JAPAN,1990,Subsector,"4.  Land use, land-use change and forestry  (4)"
E. Settlements (4),10645.843148777307,,1.65508357483182,Summary1.As2,JAPAN,1990,Subsector,"4.  Land use, land-use change and forestry  (4)"
F. Other land (4),2286.6998845685803,,0.26980194069133,Summary1.As2,JAPAN,1990,Subsector,"4.  Land use, land-use change and forestry  (4)"
G. Harvested wood products ,-264.1705152431151,,,Summary1.As2,JAPAN,1990,Subsector,"4.  Land use, land-use change and forestry  (4)"
H. Other  (4),,1.23221573640921,0.00987283583286,Summary1.As2,JAPAN,1990,Subsector,"4.  Land use, land-use change and forestry  (4)"
A.  Solid waste disposal (5),,397.58277879527884,,Summary1.As2,JAPAN,1990,Subsector,"4.  Land use, land-use change and forestry  (4)"
B.  Biological treatment of solid waste (5),,2.15969486065535,0.60662084305932,Summary1.As2,JAPAN,1990,Subsector,"4.  Land use, land-use change and forestry  (4)"
