GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level
International bunkers,27194.6869740915,0.92846219603496,0.72597875801399,Summary1.As3,FRANCE,2007,Sector
Multilateral operations,1.28358,,,Summary1.As3,FRANCE,2007,Sector
CO2 emissions from biomass,47637.628119216955,,,Summary1.As3,FRANCE,2007,Sector
Indirect CO2,1142.00086300546,,,Summary1.As3,FRANCE,2007,Sector
