GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,370328.6736975652,439.6543183754874,15.03701975118089,,,,Summary1.As1,FRANCE,1996,Sector
2.  Industrial processes and product use,36829.22751415227,8.62491937283675,88.65599524412977,2850.2227695962515,2521.236317439067,0.10956313328736,Summary1.As1,FRANCE,1996,Sector
