Main_Category,Sub_Category,Year,Net CO2 (kt),CH4,N2O
Total national emissions and removals,CO2 emissions from biomass,2014,27558.495887359684,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,2015,32802.70507845259,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,2016,34586.0643222313,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,2017,36763.09382165688,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,2018,41915.10787495373,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,2019,44278.48108820619,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,2020,45835.06387965875,0.0,0.0
Total national emissions and removals,CO2 emissions from biomass,2021,47451.15837357332,0.0,0.0
Total national emissions and removals,Indirect N2O,1990,0.0,0.0,13.80953057549712
Total national emissions and removals,Indirect N2O,1991,0.0,0.0,13.50517806928186
Total national emissions and removals,Indirect N2O,1992,0.0,0.0,13.22923039146129
Total national emissions and removals,Indirect N2O,1993,0.0,0.0,12.5886546559784
Total national emissions and removals,Indirect N2O,1994,0.0,0.0,12.45109861865818
Total national emissions and removals,Indirect N2O,1995,0.0,0.0,12.02337989026401
Total national emissions and removals,Indirect N2O,1996,0.0,0.0,11.60930386204646
Total national emissions and removals,Indirect N2O,1997,0.0,0.0,10.83624314591378
Total national emissions and removals,Indirect N2O,1998,0.0,0.0,10.67565725791487
Total national emissions and removals,Indirect N2O,1999,0.0,0.0,10.15625329408348
Total national emissions and removals,Indirect N2O,2000,0.0,0.0,9.89858371849779
Total national emissions and removals,Indirect N2O,2001,0.0,0.0,9.70468885470936
Total national emissions and removals,Indirect N2O,2002,0.0,0.0,9.26561194269755
Total national emissions and removals,Indirect N2O,2003,0.0,0.0,9.13702605766059
Total national emissions and removals,Indirect N2O,2004,0.0,0.0,8.89015316121796
Total national emissions and removals,Indirect N2O,2005,0.0,0.0,8.78587418272325
Total national emissions and removals,Indirect N2O,2006,0.0,0.0,8.52750901994058
Total national emissions and removals,Indirect N2O,2007,0.0,0.0,8.17744751222447
Total national emissions and removals,Indirect N2O,2008,0.0,0.0,7.37117577607997
Total national emissions and removals,Indirect N2O,2009,0.0,0.0,6.4806641727606
Total national emissions and removals,Indirect N2O,2010,0.0,0.0,6.32657524851789
Total national emissions and removals,Indirect N2O,2011,0.0,0.0,5.92244306231513
Total national emissions and removals,Indirect N2O,2012,0.0,0.0,6.03518116346084
Total national emissions and removals,Indirect N2O,2013,0.0,0.0,5.73078403591512
Total national emissions and removals,Indirect N2O,2014,0.0,0.0,5.35821790433247
Total national emissions and removals,Indirect N2O,2015,0.0,0.0,5.14929618766411
Total national emissions and removals,Indirect N2O,2016,0.0,0.0,4.70202933580059
Total national emissions and removals,Indirect N2O,2017,0.0,0.0,4.5458863782807
Total national emissions and removals,Indirect N2O,2018,0.0,0.0,4.32533904559932
Total national emissions and removals,Indirect N2O,2019,0.0,0.0,4.06331205532941
Total national emissions and removals,Indirect N2O,2020,0.0,0.0,3.57238155380372
Total national emissions and removals,Indirect N2O,2021,0.0,0.0,3.6048991328671
Total national emissions and removals,International bunkers,1990,48543.76366130894,0.88581973489754,1.81675178478812
Total national emissions and removals,International bunkers,1991,47974.71689231258,0.76434360954994,1.7965634015663
Total national emissions and removals,International bunkers,1992,51635.01543271411,0.7287745473213,1.91910094818492
Total national emissions and removals,International bunkers,1993,53512.94685920188,0.69593425150438,1.9714592601627
Total national emissions and removals,International bunkers,1994,53825.9651963146,0.63703172628108,1.96007310737392
Total national emissions and removals,International bunkers,1995,57262.417845248645,0.6483850675519,2.08679039357416
Total national emissions and removals,International bunkers,1996,61442.76175625672,0.6814887346377,2.24860981277318
Total national emissions and removals,International bunkers,1997,65943.59619261649,0.7117310238908,2.42149897517134
Total national emissions and removals,International bunkers,1998,72260.9008334102,0.73000040531264,2.63922794461416
Total national emissions and removals,International bunkers,1999,72160.8022556781,0.62592958727252,2.56673936918254
Total national emissions and removals,International bunkers,2000,76253.04510093448,0.5587944962262,2.67205064967266
Total national emissions and removals,International bunkers,2001,75970.86046276015,0.52488740385634,2.68063321621354
Total national emissions and removals,International bunkers,2002,73072.9281466711,0.4941364647578,2.56238618270744
Total national emissions and removals,International bunkers,2003,73915.84302389246,0.48948811134474,2.58288774853798
Total national emissions and removals,International bunkers,2004,81813.52435286404,0.50974640669988,2.86802169289656
