GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level
3.  Agriculture,2.57531908476441,36.98481016062928,2.62556132609403,Summary1.As2,ESTONIA,1993,Sector
"4.  Land use, land-use change and forestry  (4)",-4026.1454908864066,2.64407613307942,0.90273844271728,Summary1.As2,ESTONIA,1993,Sector
5.  Waste,2.21137684641074,14.95961673344429,0.11982948025198,Summary1.As2,ESTONIA,1993,Sector
