GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level
1. Energy,15233.41141131506,3.15630146942232,0.17828686097415,,,Summary1.As1,ESTONIA,2001,Sector
2.  Industrial processes and product use,625.2025123258129,,0.02402468343109,91.65536597141411,7.358355198e-05,Summary1.As1,ESTONIA,2001,Sector
