GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
F.  Product uses as substitutes for ODS,,,,0.0355143,0.008733036,,Summary1.As1,FINLAND,1992,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.21654395737062,,,0.00079491781522,Summary1.As1,FINLAND,1992,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,0.01151407855438,0.25343584720699,0.000331,Summary1.As1,FINLAND,1992,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),51441.052569250045,,,,,,Summary1.As1,FINLAND,1993,Subsector,1. Energy
                                           Sectoral approach(2),52347.73692314584,11.745468816,1.894017757,,,,Summary1.As1,FINLAND,1993,Subsector,1. Energy
1.  Energy industries,21185.146190472,0.478097815,0.524914695,,,,Summary1.As1,FINLAND,1993,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,12262.268236442838,0.676313002,0.534325011,,,,Summary1.As1,FINLAND,1993,Subsector,1. Energy
3.  Transport,10916.489,3.945467174,0.533431359,,,,Summary1.As1,FINLAND,1993,Subsector,1. Energy
4.  Other sectors,7009.539209111,6.545107656,0.277077464,,,,Summary1.As1,FINLAND,1993,Subsector,1. Energy
5.  Other,974.29428712,0.100483169,0.024269228,,,,Summary1.As1,FINLAND,1993,Subsector,1. Energy
B. Fugitive emissions from fuels,156.893832,3.317349552,0.00533662,,,,Summary1.As1,FINLAND,1993,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,156.893832,3.317349552,0.00533662,,,,Summary1.As1,FINLAND,1993,Subsector,1. Energy
A.  Mineral industry,857.5102385198861,,,,,,Summary1.As1,FINLAND,1993,Subsector,1. Energy
C.  Metal industry,2113.3150649932,8.7361e-05,,,,,Summary1.As1,FINLAND,1993,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,177.134973156824,0.00911,0.004556,,,,Summary1.As1,FINLAND,1993,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,0.1821036,0.0638264835,,Summary1.As1,FINLAND,1993,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.21661900273033,,,0.00061109261799,Summary1.As1,FINLAND,1993,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,0.01324119033754,0.29145122428803,0.000255,Summary1.As1,FINLAND,1993,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),58188.90985048339,,,,,,Summary1.As1,FINLAND,1994,Subsector,1. Energy
                                           Sectoral approach(2),57739.75383763942,11.719029409,1.974174774,,,,Summary1.As1,FINLAND,1994,Subsector,1. Energy
1.  Energy industries,26149.66294644,0.580684096,0.600692944,,,,Summary1.As1,FINLAND,1994,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,12591.981399388422,0.696907262,0.551913098,,,,Summary1.As1,FINLAND,1994,Subsector,1. Energy
3.  Transport,11272.0942,3.696013908,0.526845167,,,,Summary1.As1,FINLAND,1994,Subsector,1. Energy
4.  Other sectors,6499.629806411,6.618975043,0.264124465,,,,Summary1.As1,FINLAND,1994,Subsector,1. Energy
5.  Other,1226.3854854,0.1264491,0.0305991,,,,Summary1.As1,FINLAND,1994,Subsector,1. Energy
B. Fugitive emissions from fuels,66.4299,3.714534063,0.00233936,,,,Summary1.As1,FINLAND,1994,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,66.4299,3.714534063,0.00233936,,,,Summary1.As1,FINLAND,1994,Subsector,1. Energy
A.  Mineral industry,898.4036817561833,,,,,,Summary1.As1,FINLAND,1994,Subsector,1. Energy
C.  Metal industry,2121.9084765374,9.22e-05,,,,,Summary1.As1,FINLAND,1994,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,195.858100877776,0.01003,0.005016,,,,Summary1.As1,FINLAND,1994,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,80.74136511490566,0.47521929585,,Summary1.As1,FINLAND,1994,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.21668721447856,,,0.00072853544579,Summary1.As1,FINLAND,1994,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,0.01522736888817,0.33516890793124,0.000318,Summary1.As1,FINLAND,1994,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),52532.68029483338,,,,,,Summary1.As1,FINLAND,1995,Subsector,1. Energy
                                           Sectoral approach(2),54232.39708786774,11.684800574,1.954423937,,,,Summary1.As1,FINLAND,1995,Subsector,1. Energy
1.  Energy industries,23833.719404411,0.619808342,0.610565243,,,,Summary1.As1,FINLAND,1995,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,11989.016956177744,0.719146018,0.541603556,,,,Summary1.As1,FINLAND,1995,Subsector,1. Energy
3.  Transport,11076.34599,3.502215091,0.518135589,,,,Summary1.As1,FINLAND,1995,Subsector,1. Energy
4.  Other sectors,6016.132717879,6.693570123,0.251732969,,,,Summary1.As1,FINLAND,1995,Subsector,1. Energy
5.  Other,1317.1820194000002,0.150061,0.03238658,,,,Summary1.As1,FINLAND,1995,Subsector,1. Energy
B. Fugitive emissions from fuels,74.597124,3.70452354,0.00266498,,,,Summary1.As1,FINLAND,1995,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,74.597124,3.70452354,0.00266498,,,,Summary1.As1,FINLAND,1995,Subsector,1. Energy
A.  Mineral industry,873.7248397176477,,,,,,Summary1.As1,FINLAND,1995,Subsector,1. Energy
C.  Metal industry,2076.2942683204,9.2e-05,,,,,Summary1.As1,FINLAND,1995,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,185.617300362144,0.00972,0.004858,,,,Summary1.As1,FINLAND,1995,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,148.71094437852514,1.13572768725,,Summary1.As1,FINLAND,1995,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.21674636056407,,,0.00116393704324,Summary1.As1,FINLAND,1995,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,0.01751147422139,0.38544424412093,0.000458,Summary1.As1,FINLAND,1995,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),60833.31435685005,,,,,,Summary1.As1,FINLAND,1996,Subsector,1. Energy
                                           Sectoral approach(2),59948.50129963065,12.082654364,2.07579168,,,,Summary1.As1,FINLAND,1996,Subsector,1. Energy
1.  Energy industries,29548.823082224,0.729633985,0.720934325,,,,Summary1.As1,FINLAND,1996,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,11849.41744432965,0.695065888,0.552906994,,,,Summary1.As1,FINLAND,1996,Subsector,1. Energy
3.  Transport,11077.52768,3.35523061,0.506872358,,,,Summary1.As1,FINLAND,1996,Subsector,1. Energy
4.  Other sectors,6100.911643077,7.141451601,0.261755863,,,,Summary1.As1,FINLAND,1996,Subsector,1. Energy
5.  Other,1371.82145,0.16127228,0.03332214,,,,Summary1.As1,FINLAND,1996,Subsector,1. Energy
B. Fugitive emissions from fuels,64.757628,3.771986886,0.00234432,,,,Summary1.As1,FINLAND,1996,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,64.757628,3.771986886,0.00234432,,,,Summary1.As1,FINLAND,1996,Subsector,1. Energy
A.  Mineral industry,913.9620842618176,,,,,,Summary1.As1,FINLAND,1996,Subsector,1. Energy
C.  Metal industry,2198.6704323671,9.1e-05,,,,,Summary1.As1,FINLAND,1996,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,166.104829219296,0.00863,0.004316,,,,Summary1.As1,FINLAND,1996,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,230.48946946434188,1.2835733703,,Summary1.As1,FINLAND,1996,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.21679706936491,,,0.00092641005739,Summary1.As1,FINLAND,1996,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,0.0201381953546,0.44326088073907,0.001449,Summary1.As1,FINLAND,1996,Subsector,2.  Industrial processes and product use
