SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (Sheet 1 of 3) GREENHOUSE GAS SOURCE AND SINK CATEGORIES,SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (Sheet 1 of 3) Net CO2 emissions/removals (kt),SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (Sheet 1 of 3) CH4,SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (Sheet 1 of 3) N2O,SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (Sheet 1 of 3) HFCs(1) (kt CO2 equivalent),SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (Sheet 1 of 3) PFCs(1),SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (Sheet 1 of 3) Unspecified mix of HFCs and PFCs(1),SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (Sheet 1 of 3) SF6 (kt),SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (Sheet 1 of 3) NF3,SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (Sheet 1 of 3) NOx,SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (Sheet 1 of 3) CO,SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (Sheet 1 of 3) NMVOC,Inventory 1990 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,SourceFile,YearFromFilename,Inventory 1991 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 1992 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 1993 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 1994 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 1995 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 1996 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 1997 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 1998 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 1999 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2000 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2001 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2002 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2003 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2004 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2005 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2006 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2007 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2008 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2009 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2010 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2011 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2012 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2013 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2014 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2015 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2016 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2017 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2018 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2019 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2020 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2021 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2
E.  Electronic industry ,,,,5.5085797132203,"NO,NE,IE","NO,NE","NO,NE,IE",8.08212162e-06,,,,,GBR_2023_1991_13042023_164356.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.  Product uses as substitutes for ODS,,,,27.46690112625593,,,,,,,,,GBR_2023_1991_13042023_164356.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.  Other product manufacture and use ,,,2.02080590805121,,78.83880397231675,,0.03847576674504,,0.1871136,5.7277552,0.50312768,,GBR_2023_1991_13042023_164356.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.  Other(3),"IE,NE,NO",1.00907940730941,,,,,,,1.42807341091168,7.85440376001422,88.83432405897506,,GBR_2023_1991_13042023_164356.xlsx,2023,2.85614682182335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,GBR_2023_1991_13042023_164356.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,GBR_2023_1991_13042023_164356.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total national emissions and removals,597922.1096053956,5412.773361828221,151.4358931095106,13102.55620347052,617.6405516478967,"NO,NE",0.05827520672488,9.57327306e-06,2733.0432180452694,7488.4492609391855,2625.7373044117826,,GBR_2023_1992_13042023_164447.xlsx,2023,,3429.07816152208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,552920.4130407373,1498.6733222588928,12.06596797736782,,,,,,2644.2903070310686,6706.935615567613,1641.700598760675,,GBR_2023_1992_13042023_164447.xlsx,2023,,3341.666222359019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Fuel combustion     Reference approach(2),551017.7827981057,,,,,,,,,,,,GBR_2023_1992_13042023_164447.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                                           Sectoral approach(2),546476.2099848527,127.43002771434573,11.91851692422838,,,,,,2640.3450324470127,6657.245871287686,1030.642964361028,,GBR_2023_1992_13042023_164447.xlsx,2023,,3325.129483315901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  Energy industries,224541.45163845716,9.50191435455435,4.61697502670495,,,,,,732.8663724285284,136.91391752522932,9.1740491045002,,GBR_2023_1992_13042023_164447.xlsx,2023,,2447.5364299619487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Manufacturing industries and construction                          ,76523.4505846677,4.2362424306715,0.9758305905451,,,,,,320.5805690345089,513.8223314699582,28.54698904746759,,GBR_2023_1992_13042023_164447.xlsx,2023,,500.07978797238127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.  Transport,120729.88080780614,49.61701991694057,4.87281852405445,,,,,,1315.4040642565185,4953.847799865873,900.7644982565134,,GBR_2023_1992_13042023_164447.xlsx,2023,,146.3577886105852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.  Other sectors,120586.33536095692,63.97071973156307,1.3033324926728,,,,,,236.68280452928303,1044.064465796699,90.47387071322129,,GBR_2023_1992_13042023_164447.xlsx,2023,,220.6241314174237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.  Other,4095.09159296483,0.10413128061624,0.14956029025108,,,,,,34.8112221981737,8.5973566299274,1.68355723932545,,GBR_2023_1992_13042023_164447.xlsx,2023,,10.53134535356201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Fugitive emissions from fuels,6444.203055884522,1371.243294544547,0.14745105313944,,,,,,3.9452745840561,49.68974427992703,611.0576343996469,,GBR_2023_1992_13042023_164447.xlsx,2023,,16.5367390431181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  Solid fuels,1122.5609233797313,890.3646176577033,8.8452e-05,,,,,,0.33204674857323,33.1687950483573,202.25181657264056,,GBR_2023_1992_13042023_164447.xlsx,2023,,16.03521230661977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Oil and natural gas and other emissions from energy production,5321.64213250479,480.87867688684366,0.14736260113944,,,,,,3.61322783548287,16.52094923156973,408.80581782700636,,GBR_2023_1992_13042023_164447.xlsx,2023,,0.50152673649833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. CO2 Transport and storage,,,,,,,,,,,,,GBR_2023_1992_13042023_164447.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Industrial processes and product use,39962.87757134683,11.88387041449758,67.88775016961074,13102.55620347052,617.6405516478967,"NO,NE",0.05827520672488,9.57327306e-06,41.18476214930466,602.212586876618,848.3232276998024,,GBR_2023_1992_13042023_164447.xlsx,2023,,79.15578039412493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Mineral industry,7976.125129490574,,,,,,,,,3.84656961592554,3.52528340750278,,GBR_2023_1992_13042023_164447.xlsx,2023,,10.2352408026389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Chemical industry,7456.115937121439,9.44111304449843,65.80519170619417,13046.102657772539,16.1620677446289,,,,17.23880980192104,87.59897189393804,154.1278686598326,,GBR_2023_1992_13042023_164447.xlsx,2023,,37.08677645541578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Metal industry,23019.003962862444,1.53954961906062,0.06596969875409,,513.1553970238398,,0.01698125,,22.33181045424363,497.66817255448456,4.14256051426168,,GBR_2023_1992_13042023_164447.xlsx,2023,,27.15558354402754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Non-energy products from fuels and solvent use ,1511.6325418723688,"NO,IE","NO,NE,IE",,,,,,"NO,IE","NO,IE",597.0756680295763,,GBR_2023_1992_13042023_164447.xlsx,2023,,1.78608900576272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Electronic industry ,,,,6.52491267030939,"NO,NE,IE","NO,NE","NO,NE,IE",9.57327306e-06,,,,,GBR_2023_1992_13042023_164447.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.  Product uses as substitutes for ODS,,,,49.92863302767309,,,,,,,,,GBR_2023_1992_13042023_164447.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.  Other product manufacture and use ,,,2.01658876466249,,88.32308687942798,,0.04129395672488,,0.1680966,5.1456237,0.45199308,,GBR_2023_1992_13042023_164447.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.  Other(3),"IE,NE,NO",0.90320775093853,,,,,,,1.44604529313999,7.95324911226997,88.99985400862911,,GBR_2023_1992_13042023_164447.xlsx,2023,,2.89209058627999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,GBR_2023_1992_13042023_164447.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,GBR_2023_1992_13042023_164447.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total national emissions and removals,583385.0584462105,5355.291009471564,137.0323899641951,13764.685728208276,538.7008464761537,"NO,NE",0.05098350085002,1.133954194e-05,2591.241346295202,7191.771982358986,2501.361136018688,,GBR_2023_1993_13042023_164537.xlsx,2023,,,3114.5282959553765,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,539546.6466957834,1421.4490128672583,11.93485266144121,,,,,,2509.0962441334,6525.484927651454,1540.425433470332,,GBR_2023_1993_13042023_164537.xlsx,2023,,,3033.2242317134874,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Fuel combustion     Reference approach(2),532929.7716399181,,,,,,,,,,,,GBR_2023_1993_13042023_164537.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                                           Sectoral approach(2),532911.0132782923,130.22307370108547,11.77998993307841,,,,,,2504.8872560988375,6475.555596792488,981.3073889624735,,GBR_2023_1993_13042023_164537.xlsx,2023,,,3017.2472247791666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  Energy industries,208802.33370831798,9.9220225132317,4.17113417539241,,,,,,655.1593840661476,128.04745275787434,9.14670630933863,,GBR_2023_1993_13042023_164537.xlsx,2023,,,2150.483705471696,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Manufacturing industries and construction                          ,74066.51052749823,3.87727939512361,0.94357307204029,,,,,,313.1869071671409,482.076630786344,28.04208096972169,,GBR_2023_1993_13042023_164537.xlsx,2023,,,478.1269660284243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.  Transport,121998.99797121914,47.43329870075394,5.15263705709781,,,,,,1270.2159721409341,4736.3317022791325,852.4940949054097,,GBR_2023_1993_13042023_164537.xlsx,2023,,,142.29537672521303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.  Other sectors,123894.8655016057,68.88126185088214,1.36356188539343,,,,,,234.01567665149264,1120.1322617900164,89.95049456673647,,GBR_2023_1993_13042023_164537.xlsx,2023,,,237.14029356350787,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.  Other,4148.30556965114,0.10921124109409,0.14908374315447,,,,,,32.3093160731223,8.96754917912135,1.67401221126701,,GBR_2023_1993_13042023_164537.xlsx,2023,,,9.20088299032542,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Fugitive emissions from fuels,6635.633417491165,1291.2259391661726,0.1548627283628,,,,,,4.20898803456263,49.92933085896587,559.1180445078586,,GBR_2023_1993_13042023_164537.xlsx,2023,,,15.97700693432087,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  Solid fuels,1022.2091415743453,829.103641348178,0.000150336,,,,,,0.37389375861335,32.67154670529583,156.3133757177346,,GBR_2023_1993_13042023_164537.xlsx,2023,,,15.42735254105021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Oil and natural gas and other emissions from energy production,5613.42427591682,462.12229781799465,0.1547123923628,,,,,,3.83509427594928,17.25778415367004,402.804668790124,,GBR_2023_1993_13042023_164537.xlsx,2023,,,0.54965439327066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. CO2 Transport and storage,,,,,,,,,,,,,GBR_2023_1993_13042023_164537.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Industrial processes and product use,39558.08022770985,11.32405954341662,55.18191231177258,13764.685728208276,538.7008464761537,"NO,NE",0.05098350085002,1.133954194e-05,39.88287674011618,608.8398204884074,826.574856099052,,GBR_2023_1993_13042023_164537.xlsx,2023,,,75.80912471242077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Mineral industry,7965.099800860758,,,,,,,,,3.23658172117978,3.01507603723722,,GBR_2023_1993_13042023_164537.xlsx,2023,,,8.61213928289285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Chemical industry,7425.547412528549,9.0199110173254,53.10217161017811,13543.531817589494,40.13152254223736,,,,16.32915617595556,89.5647424590633,150.57415979467808,,GBR_2023_1993_13042023_164537.xlsx,2023,,,35.38585763247068,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Metal industry,22471.20406027026,1.54417119849717,0.06689214313789,,399.0121039510152,,0.01698125,,21.9557514443748,502.6102025493424,4.12225496386753,,GBR_2023_1993_13042023_164537.xlsx,2023,,,27.15307234671474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Non-energy products from fuels and solvent use ,1696.2289540502811,"NO,IE","NO,NE,IE",,,,,,"NO,IE","NO,IE",579.0270141892868,,GBR_2023_1993_13042023_164537.xlsx,2023,,,1.83163201077086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Electronic industry ,,,,7.7287590579815,"NO,NE,IE","NO,NE","NO,NE,IE",1.133954194e-05,,,,,GBR_2023_1993_13042023_164537.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.  Product uses as substitutes for ODS,,,,213.42515156080225,,,,,,,,,GBR_2023_1993_13042023_164537.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.  Other product manufacture and use ,,,2.01284855845658,,99.55721998290115,,0.03400225085002,,0.1847574,5.6556293,0.49679212,,GBR_2023_1993_13042023_164537.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.  Other(3),"IE,NE,NO",0.75997732759405,,,,,,,1.41321171978582,7.77266445882202,89.33955899398244,,GBR_2023_1993_13042023_164537.xlsx,2023,,,2.82642343957164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,GBR_2023_1993_13042023_164537.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,GBR_2023_1993_13042023_164537.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total national emissions and removals,577002.1620812862,5081.999547565378,139.2449717514107,14537.303027826963,546.4092799665525,"NO,NE",0.05294168695483,1.343168743e-05,2560.1562303064425,6776.448218043948,2382.486001794434,,GBR_2023_1994_13042023_164627.xlsx,2023,,,,2825.7763092285027,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,531410.7662984238,1120.7428995340747,12.19352555004721,,,,,,2476.5928273908394,6098.362267974328,1422.5966783892263,,GBR_2023_1994_13042023_164627.xlsx,2023,,,,2742.763566450719,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Fuel combustion     Reference approach(2),524563.9573584192,,,,,,,,,,,,GBR_2023_1994_13042023_164627.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                                           Sectoral approach(2),523985.24638654036,118.02012472754406,12.00104479428206,,,,,,2471.5183640933683,6042.281454448066,914.4630088801377,,GBR_2023_1994_13042023_164627.xlsx,2023,,,,2727.800575404893,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  Energy industries,204502.41875183818,10.0590967352788,4.0557706928745,,,,,,650.7056592017126,135.3688668858754,9.96882802635806,,GBR_2023_1994_13042023_164627.xlsx,2023,,,,1966.8639536994654,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Manufacturing industries and construction                          ,73103.39220920968,4.13416591761713,0.97910713648861,,,,,,323.7584704195072,476.099624652197,28.77861092605762,,GBR_2023_1994_13042023_164627.xlsx,2023,,,,387.0148768621754,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.  Transport,123412.65892346363,43.83281270184124,5.60562039088364,,,,,,1242.49539611166,4441.622134359396,797.2737771828064,,GBR_2023_1994_13042023_164627.xlsx,2023,,,,154.53103375347868,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.  Other sectors,119000.13779905609,59.88882795844012,1.21851417437353,,,,,,224.2916272033917,980.5612920771036,76.84768497254757,,GBR_2023_1994_13042023_164627.xlsx,2023,,,,210.77883488924613,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.  Other,3966.6387029727402,0.10522141436677,0.14203239966178,,,,,,30.2672111570966,8.62953647349428,1.59410777236815,,GBR_2023_1994_13042023_164627.xlsx,2023,,,,8.61187620052771,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Fugitive emissions from fuels,7425.519911883423,1002.7227748065307,0.19248075576515,,,,,,5.07446329747148,56.08081352626105,508.1336695090886,,GBR_2023_1994_13042023_164627.xlsx,2023,,,,14.96299104582544,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  Solid fuels,791.7676864289202,550.9598691629755,8.7156e-05,,,,,,0.43414507,34.73016860981895,100.83000425204297,,GBR_2023_1994_13042023_164627.xlsx,2023,,,,14.30793201790261,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Oil and natural gas and other emissions from energy production,6633.752225454503,451.76290564355514,0.19239359976515,,,,,,4.64031822747148,21.3506449164421,407.3036652570456,,GBR_2023_1994_13042023_164627.xlsx,2023,,,,0.65505902792283,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. CO2 Transport and storage,,,,,,,,,,,,,GBR_2023_1994_13042023_164627.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Industrial processes and product use,41887.94475758753,11.69049309473291,55.11528601009812,14537.303027826963,546.4092799665525,"NO,NE",0.05294168695483,1.343168743e-05,40.40346163175881,625.8321033763079,825.6818920307571,,GBR_2023_1994_13042023_164627.xlsx,2023,,,,78.19673627538383,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Mineral industry,9075.512596453364,,,,,,,,,3.64554454295413,3.36245682528228,,GBR_2023_1994_13042023_164627.xlsx,2023,,,,9.13022158774626,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Chemical industry,7715.727862139439,9.23831358243582,53.03196812908923,14052.68090475102,72.23674057602744,,,,15.73535673738298,94.47228158094319,156.40185913541077,,GBR_2023_1994_13042023_164627.xlsx,2023,,,,35.93308286965747,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Metal industry,23456.046025778644,1.59617418382065,0.06869216428487,,361.30848874656,,0.01698125,,23.17832469243236,515.0429289417215,4.22747081567392,,GBR_2023_1994_13042023_164627.xlsx,2023,,,,28.70389611187637,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Non-energy products from fuels and solvent use ,1640.658273216084,"NO,IE","NO,NE,IE",,,,,,"NO,IE","NO,IE",571.1433441785521,,GBR_2023_1994_13042023_164627.xlsx,2023,,,,1.80659490221679,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Electronic industry ,,,,9.15471510417915,"NO,NE,IE","NO,NE","NO,NE,IE",1.343168743e-05,,,,,GBR_2023_1994_13042023_164627.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.  Product uses as substitutes for ODS,,,,475.4674079717643,,,,,,,,,GBR_2023_1994_13042023_164627.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.  Other product manufacture and use ,,,2.01462571672402,,112.86405064396511,,0.03596043695483,,0.1783098,5.4582611,0.47945524,,GBR_2023_1994_13042023_164627.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.  Other(3),"IE,NE,NO",0.85600532847644,,,,,,,1.31147040194347,7.21308721068909,90.06730583583806,,GBR_2023_1994_13042023_164627.xlsx,2023,,,,2.62294080388694,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,GBR_2023_1994_13042023_164627.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,GBR_2023_1994_13042023_164627.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total national emissions and removals,569166.3775157833,5148.808197628839,134.66254722096738,15619.653424166467,533.2729159722217,"NO,NE",0.05493050010729,1.590983377e-05,2466.931322798303,6357.109303402183,2278.9814732653963,,GBR_2023_1995_13042023_164718.xlsx,2023,,,,,2541.2693488464533,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,522914.2198673837,1154.9613538814494,12.52443099020078,,,,,,2385.687774274216,5651.666256358241,1361.5112569996504,,GBR_2023_1995_13042023_164718.xlsx,2023,,,,,2454.1052074012996,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Fuel combustion     Reference approach(2),515536.4486177543,,,,,,,,,,,,GBR_2023_1995_13042023_164718.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                                           Sectoral approach(2),514573.0265494808,102.20755664106863,12.32081999447919,,,,,,2379.964128652382,5596.715261601438,855.3292567177601,,GBR_2023_1995_13042023_164718.xlsx,2023,,,,,2443.5959555294276,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  Energy industries,202492.538259512,10.48807616788907,3.99012748283123,,,,,,615.7880780289573,134.67045905834814,10.21875656223313,,GBR_2023_1995_13042023_164718.xlsx,2023,,,,,1793.5451254308716,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Manufacturing industries and construction                          ,70344.6393880114,3.98586520658017,0.93770945883232,,,,,,309.79510768183025,459.0791260408815,27.93206681968697,,GBR_2023_1995_13042023_164718.xlsx,2023,,,,,310.535488660476,,,,,,,,,,,,,,,,,,,,,,,,,,
3.  Transport,122840.36715227287,40.21141400104982,6.21935829397546,,,,,,1204.8040230222712,4212.872718388986,750.9588658028049,,GBR_2023_1995_13042023_164718.xlsx,2023,,,,,144.66909717039533,,,,,,,,,,,,,,,,,,,,,,,,,,
4.  Other sectors,115002.34945380647,47.41981369698467,1.03364554664324,,,,,,219.16495723681024,781.6846393214034,64.64687188076024,,GBR_2023_1995_13042023_164718.xlsx,2023,,,,,186.43020655440395,,,,,,,,,,,,,,,,,,,,,,,,,,
5.  Other,3893.13229587805,0.10238756856491,0.13997921219694,,,,,,30.411962682513,8.40831879181915,1.57269565227488,,GBR_2023_1995_13042023_164718.xlsx,2023,,,,,8.41603771328056,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Fugitive emissions from fuels,8341.1933179029,1052.7537972403807,0.20361099572159,,,,,,5.72364562183399,54.95099475680335,506.1820002818904,,GBR_2023_1995_13042023_164718.xlsx,2023,,,,,10.50925187187208,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  Solid fuels,737.4210967891712,602.5162563378652,9.8172e-05,,,,,,0.46402417027397,32.25426980682848,110.00951177178389,,GBR_2023_1995_13042023_164718.xlsx,2023,,,,,9.92666686506547,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Oil and natural gas and other emissions from energy production,7603.772221113728,450.23754090251555,0.20351282372159,,,,,,5.25962145156002,22.69672494997487,396.17248851010646,,GBR_2023_1995_13042023_164718.xlsx,2023,,,,,0.58258500680661,,,,,,,,,,,,,,,,,,,,,,,,,,
C. CO2 Transport and storage,,,,,,,,,,,,,GBR_2023_1995_13042023_164718.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Industrial processes and product use,42581.24896397609,9.67780179114274,50.04405327312988,15619.653424166467,533.2729159722217,"NO,NE",0.05493050010729,1.590983377e-05,37.53337511573667,638.7832115998926,785.2988429724239,,GBR_2023_1995_13042023_164718.xlsx,2023,,,,,82.30453840381739,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Mineral industry,9263.281723540988,,,,,,,,,3.6302697592619,3.35278290905204,,GBR_2023_1995_13042023_164718.xlsx,2023,,,,,12.2013944934365,,,,,,,,,,,,,,,,,,,,,,,,,,
