SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (Sheet 1 of 3) GREENHOUSE GAS SOURCE AND SINK CATEGORIES,SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (Sheet 1 of 3) Net CO2 emissions/removals (kt),SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (Sheet 1 of 3) CH4,SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (Sheet 1 of 3) N2O,SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (Sheet 1 of 3) HFCs(1) (kt CO2 equivalent),SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (Sheet 1 of 3) PFCs(1),SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (Sheet 1 of 3) Unspecified mix of HFCs and PFCs(1),SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (Sheet 1 of 3) SF6 (kt),SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (Sheet 1 of 3) NF3,SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (Sheet 1 of 3) NOx,SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (Sheet 1 of 3) CO,SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (Sheet 1 of 3) NMVOC,Inventory 1990 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,SourceFile,YearFromFilename,Inventory 1991 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 1992 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 1993 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 1994 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 1995 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 1996 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 1997 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 1998 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 1999 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2000 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2001 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2002 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2003 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2004 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2005 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2006 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2007 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2008 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2009 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2010 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2011 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2012 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2013 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2014 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2015 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2016 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2017 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2018 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2019 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2020 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Inventory 2021 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2
H.  Other(3),"IE,NE,NO",1.24420140183634,,,,,,,1.27237205094856,6.9980462802171,89.15997059879842,2.54474410189713,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total national emissions and removals,614363.2203847475,5419.626362665269,168.1944723172287,12582.825728160471,1243.0533429827867,"NO,NE",0.05545701674504,8.08212162e-06,2796.0199226723407,7836.391233177106,2719.665369270072,,GBR_2023_1991_13042023_164356.xlsx,2023,3523.2377165643425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,567624.8351479645,1517.5810701402088,12.25304941615515,,,,,,2702.4059200252964,7011.623786076159,1695.5786486437494,,GBR_2023_1991_13042023_164356.xlsx,2023,3431.7569210483384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Fuel combustion     Reference approach(2),561819.3001640907,,,,,,,,,,,,GBR_2023_1991_13042023_164356.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                                           Sectoral approach(2),561364.4952109663,134.666319636846,12.10733110536919,,,,,,2698.430434371115,6958.859154687524,1067.4621026584211,,GBR_2023_1991_13042023_164356.xlsx,2023,3413.775182199007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  Energy industries,235358.61786855172,9.29721397493072,4.77340798677118,,,,,,751.5046316578778,139.01546102216375,9.46533745412219,,GBR_2023_1991_13042023_164356.xlsx,2023,2580.36904076979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Manufacturing industries and construction                          ,78754.59302728824,4.23589645258032,0.9826184811337,,,,,,328.81724658564514,512.5159092440541,29.13175511239796,,GBR_2023_1991_13042023_164356.xlsx,2023,447.31571277412513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.  Transport,119332.13441367378,50.23476220136224,4.78927414518554,,,,,,1338.6653877033584,5139.87419118183,931.3470390821484,,GBR_2023_1991_13042023_164356.xlsx,2023,147.34436920206826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.  Other sectors,123617.75115968891,70.79002096943812,1.40432149937559,,,,,,242.11892163361478,1158.492188964774,95.7410841120896,,GBR_2023_1991_13042023_164356.xlsx,2023,227.40577144317302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.  Other,4301.39874176371,0.10842603853459,0.15770899290318,,,,,,37.324246790619,8.96140427470234,1.77688689766309,,GBR_2023_1991_13042023_164356.xlsx,2023,11.3402880098505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Fugitive emissions from fuels,6260.33993699822,1382.9147505033627,0.14571831078596,,,,,,3.97548565418154,52.76463138863568,628.1165459853283,,GBR_2023_1991_13042023_164356.xlsx,2023,17.98173884933158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  Solid fuels,1312.1340809408694,897.8325295255721,0.000122796,,,,,,0.38688327755647,36.3497024801248,225.05167392862043,,GBR_2023_1991_13042023_164356.xlsx,2023,17.48986961426025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Oil and natural gas and other emissions from energy production,4948.2058560573505,485.0822209777906,0.14559551478596,,,,,,3.58860237662507,16.41492890851088,403.0648720567079,,GBR_2023_1991_13042023_164356.xlsx,2023,0.49186923507133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. CO2 Transport and storage,,,,,,,,,,,,,GBR_2023_1991_13042023_164356.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Industrial processes and product use,40751.71190583415,11.36160980369315,82.50653222248519,12582.825728160471,1243.0533429827867,"NO,NE",0.05545701674504,8.08212162e-06,42.235237970761,598.0899755748954,886.5765474595588,,GBR_2023_1991_13042023_164356.xlsx,2023,82.71712367637862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Mineral industry,8516.932429211069,,,,,,,,,4.2974544717749,3.90158353387849,,GBR_2023_1991_13042023_164356.xlsx,2023,11.434989028896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Chemical industry,7493.080241436179,8.87472921355697,80.42189158861585,12549.850247320996,16.07851391469603,,,,18.05486275451848,88.5046823263177,155.14702396508477,,GBR_2023_1991_13042023_164356.xlsx,2023,39.58135124214757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Metal industry,24232.3036309544,1.47780118282677,0.06383472581813,,1148.136025095774,,0.01698125,,22.56518820533084,491.7056798167886,4.2990283030015,,GBR_2023_1991_13042023_164356.xlsx,2023,27.1179774204305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Non-energy products from fuels and solvent use ,509.39560423250276,"NO,IE","NO,NE,IE",,,,,,"NO,IE","NO,IE",633.891459918619,,GBR_2023_1991_13042023_164356.xlsx,2023,1.7266591630812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
