GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,48783.62564173292,21.65494889170178,2.03874806642381,,,,Summary1.As1,AUSTRIA,2020,Sector
2.  Industrial processes and product use,13186.629049771274,2.1184615395814,0.30244486929374,1704.9654089291964,27.02043,0.01934106547226,Summary1.As1,AUSTRIA,2020,Sector
