GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level
International bunkers,1241.4827195865646,0.02133399633316,0.06410916383348,Summary1.As3,AUSTRIA,1994,Sector
CO2 emissions from biomass,11177.97030100232,,,Summary1.As3,AUSTRIA,1994,Sector
Long-term storage of C in waste disposal sites,25119.297500123284,,,Summary1.As3,AUSTRIA,1994,Sector
Indirect N2O,,,0.04764407080983,Summary1.As3,AUSTRIA,1994,Sector
