GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),529805.0368135716,,,,,,,,,,,,2005,Subsector,1. Energy
1.  Energy industries,213862.09407176732,13.82099701742705,4.04662244990484,,,,,,492.94892085248233,105.19857586855161,6.37847848460667,470.9402556915186,2005,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,66049.36977833149,2.89438819095705,0.79590702398832,,,,,,233.93953135441038,540.9367320601634,27.27034225927073,115.45885900088194,2005,Subsector,1. Energy
3.  Transport,131936.74624610224,15.86533291667078,4.5564887933769,,,,,,773.268922850642,1779.6796532395256,235.6736934160111,76.87328301705647,2005,Subsector,1. Energy
4.  Other sectors,113072.54980830329,23.69120376610375,0.68835811581667,,,,,,171.2502684714961,351.10337589886973,37.57737316806965,61.51049805199689,2005,Subsector,1. Energy
5.  Other,2846.3315847485546,0.07389746021828,0.10294633503262,,,,,,22.10415442897113,6.09838510987622,1.15221781035403,6.10967402673478,2005,Subsector,1. Energy
B. Fugitive emissions from fuels,5998.543023781423,435.96615656171963,0.14752446296499,,,,,,3.28872182229676,20.0384635926217,274.171768954695,9.18128319944979,2005,Subsector,1. Energy
C. CO2 Transport and storage,NO,,,,,,,,,,,,2005,Subsector,1. Energy
