GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
Total national emissions and removals,321430.23387779394,2069.971258555041,70.70719563316965,11525.463795236754,151.13515733409065,NO,0.01788369025218,2.096730672e-05,685.2191832745044,1291.8842540062583,799.3794267043622,133.79811448416189,2020,Subsector,Multilateral operations
1. Energy,304342.55097109143,236.7511444534617,7.2666925019615,,,,,,640.4283623984597,1004.1604299794805,190.64038105229082,115.80132059849849,2020,Subsector,Multilateral operations
A. Fuel combustion     Reference approach(2),298783.6618211124,,,,,,,,,,,,2020,Subsector,Multilateral operations
                                           Sectoral approach(2),300902.1605221364,47.06393120508916,7.16304041582231,,,,,,638.4421068108315,988.1448729079723,78.94152211620398,105.14623663062068,2020,Subsector,Multilateral operations
1.  Energy industries,75904.16399210814,15.17225079718563,2.34714632842529,,,,,,139.7058683728998,69.7461244190772,2.98104423692739,32.42646545176988,2020,Subsector,Multilateral operations
2.  Manufacturing industries and construction                          ,40301.99438734661,4.70341164211736,0.83781873189256,,,,,,124.93782283964443,394.14547210331506,15.75343112154686,31.81027341557528,2020,Subsector,Multilateral operations
3.  Transport,97035.92556911676,3.11274608404675,3.3081588477196,,,,,,274.66370600608417,196.0275390974094,31.26583674056309,6.25078632984245,2020,Subsector,Multilateral operations
4.  Other sectors,86285.57121903222,24.03850144669825,0.62159156845937,,,,,,88.73280057914059,325.20124947079347,28.40366907421477,33.69223388260848,2020,Subsector,Multilateral operations
5.  Other,1374.5053545326507,0.03702123504117,0.04832493932549,,,,,,10.40190901306253,3.02448781737714,0.53754094295188,0.96647755082459,2020,Subsector,Multilateral operations
B. Fugitive emissions from fuels,3440.390448955055,189.68721324837256,0.10365208613919,,,,,,1.98625558762823,16.01555707150813,111.69885893608684,10.65508396787781,2020,Subsector,Multilateral operations
1.  Solid fuels,197.1103257468459,18.98835496461727,5.489208e-05,,,,,,0.0781372432,7.61578916635455,1.03681202071708,10.39117787032988,2020,Subsector,Multilateral operations
2.  Oil and natural gas and other emissions from energy production,3243.2801232082093,170.69885828375527,0.10359719405919,,,,,,1.90811834442823,8.39976790515358,110.66204691536976,0.26390609754793,2020,Subsector,Multilateral operations
C. CO2 Transport and storage,NO,,,,,,,,,,,,2020,Subsector,Multilateral operations
2.  Industrial processes and product use,21161.572902241584,3.23009522848678,2.71843737855726,11525.463795236754,151.13515733409065,NO,0.01788369025218,2.096730672e-05,14.36446013120807,215.63061106515792,468.68277995353037,17.47020079710954,2020,Subsector,Multilateral operations
A.  Mineral industry,5542.541381605896,,,,,,,,NO,0.78182417017558,0.73284712657006,3.163,2020,Subsector,Multilateral operations
B.  Chemical industry,4513.425147361346,2.68802071006597,0.1714205040066,NO,75.08823697297159,NO,NO,NO,4.59341925355447,29.83509015065353,12.52485443368412,0.7248726577086,2020,Subsector,Multilateral operations
C.  Metal industry,10732.3429741133,0.43721851255269,0.02389769517527,1.3416,3.84960143195263,,0.00120365,,8.51591140045489,176.59052219230153,1.76816675398797,10.13926658788246,2020,Subsector,Multilateral operations
D.  Non-energy products from fuels and solvent use ,373.26339916104075,"NO,IE","NO,NE,IE",,,,,,"NO,IE","NO,IE",335.5145750799466,1.05386155151848,2020,Subsector,Multilateral operations
E.  Electronic industry ,,,,20.45831045803691,"NO,NE,IE",NO,"NO,IE",2.096730672e-05,,,,,2020,Subsector,Multilateral operations
F.  Product uses as substitutes for ODS,,,,11503.663884778716,NO,,,,,,,,2020,Subsector,Multilateral operations
G.  Other product manufacture and use ,NO,NO,2.52311917937539,,72.19731892916643,,0.01668004025218,,0.06052947719871,1.85287455202727,0.16275703868987,NO,2020,Subsector,Multilateral operations
H.  Other(3),"NO,NE,IE",0.10485600586812,NO,,,,,,1.1946,6.5703,117.97957952065173,2.3892,2020,Subsector,Multilateral operations
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,2020,Subsector,Multilateral operations
