GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
Total national emissions and removals,434008.9272177405,2287.2403627153226,76.4625576647936,13343.159754723687,219.21137511376557,NO,0.01864851157775,2.096730672e-05,1059.877203427134,1663.6982544250234,825.0341320801324,342.91536569420816,2014,Subsector,CO2 captured
1. Energy,408165.494681147,323.29178780062085,8.41133248346801,,,,,,1010.4274475940817,1285.7740220207897,240.76709598515694,316.8238894440247,2014,Subsector,CO2 captured
A. Fuel combustion     Reference approach(2),402728.3684797576,,,,,,,,,,,,2014,Subsector,CO2 captured
                                           Sectoral approach(2),403731.52126716386,42.22807230475005,8.29355489061916,,,,,,1008.1135824341249,1266.898401237839,102.71107578541972,296.2800660294807,2014,Subsector,CO2 captured
1.  Energy industries,153340.51231150192,12.85110833519513,3.34189239888672,,,,,,297.3133432384081,90.79976433975683,4.60667146989884,160.239295008059,2014,Subsector,CO2 captured
2.  Manufacturing industries and construction                          ,43321.61528138494,3.29406695436466,0.65407860538546,,,,,,126.69515477297422,391.6110301493153,16.59394971872009,76.5969842564467,2014,Subsector,CO2 captured
3.  Transport,118899.41029237189,4.94307413331822,3.60647225340297,,,,,,455.6409409838413,456.11289687261814,53.86349856460928,18.23947703834862,2014,Subsector,CO2 captured
4.  Other sectors,86151.12430448293,21.08642050618577,0.61874375481215,,,,,,112.20131085475556,323.9787436856746,26.83911118588873,38.1000831438274,2014,Subsector,CO2 captured
5.  Other,2018.8590774221564,0.05340237568627,0.07236787813186,,,,,,16.26283258414563,4.39596619047405,0.80784484630278,3.10422658279897,2014,Subsector,CO2 captured
B. Fugitive emissions from fuels,4433.973413983125,281.06371549587084,0.11777759284885,,,,,,2.31386515995686,18.87562078295085,138.05602019973722,20.54382341454402,2014,Subsector,CO2 captured
1.  Solid fuels,435.48017418282745,67.27892902354053,0.00022096152,,,,,,0.26960527135556,9.43826908957213,13.45445064996674,20.04537351927117,2014,Subsector,CO2 captured
2.  Oil and natural gas and other emissions from energy production,3998.4932398002984,213.7847864723303,0.11755663132885,,,,,,2.0442598886013,9.43735169337872,124.60156954977047,0.49844989527285,2014,Subsector,CO2 captured
C. CO2 Transport and storage,NO,,,,,,,,,,,,2014,Subsector,CO2 captured
2.  Industrial processes and product use,30180.1959719624,5.07755215305834,3.00564614677622,13343.159754723687,219.21137511376557,NO,0.01864851157775,2.096730672e-05,17.00403878451408,319.98446499922454,453.1572796842399,25.32138806369191,2014,Subsector,CO2 captured
A.  Mineral industry,6744.2218746675135,,,,,,,,NO,1.42128309250305,1.35065718237322,5.189,2014,Subsector,CO2 captured
B.  Chemical industry,4332.062081979135,3.97544815804647,0.14093087544632,2.1328,92.41629165904197,NO,NO,NO,3.88295943957937,19.97879564411912,14.20308132749085,0.84757661971319,2014,Subsector,CO2 captured
C.  Metal industry,18153.14527136814,0.89937009527039,0.04449565784704,2.03164,38.30344503590323,,0.00448856,,11.98932611855819,290.5202736107433,3.11504486698334,15.65935657214453,2014,Subsector,CO2 captured
D.  Non-energy products from fuels and solvent use ,950.7667439476132,"NO,IE","NO,NE,IE",,,,,,"NO,IE","NO,IE",331.56767447782596,1.50845487183419,2014,Subsector,CO2 captured
E.  Electronic industry ,,,,25.38848365083666,"NO,NE,IE",NO,"NO,IE",2.096730672e-05,,,,,2014,Subsector,CO2 captured
F.  Product uses as substitutes for ODS,,,,13313.60683107285,NO,,,,,,,,2014,Subsector,CO2 captured
G.  Other product manufacture and use ,NO,NO,2.82021961348286,,88.49163841882037,,0.01415995157775,,0.07325322637652,2.24236265185908,0.19696978647909,NO,2014,Subsector,CO2 captured
H.  Other(3),"NE,NO,IE",0.20273389974148,NO,,,,,,1.0585,5.82175,102.72385204308743,2.117,2014,Subsector,CO2 captured
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,2014,Subsector,CO2 captured
