GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2 (kt),CH4,N2O,HFCs (1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
A.  Enteric fermentation,,912.0608308563513,,,,,,,,,,,2004,Subsector,3.  Agriculture
B.  Manure management,,158.52439285298084,10.75811592756518,,,,,,,,76.83143059581343,,2004,Subsector,3.  Agriculture
C.  Rice cultivation,,NO,,,,,,,,,NO,,2004,Subsector,3.  Agriculture
D.  Agricultural soils,,NE,44.89162415443094,,,,,,29.55292273768615,NE,43.07841025028046,,2004,Subsector,3.  Agriculture
E.  Prescribed burning of savannas,,NO,NO,,,,,,NO,NO,NO,,2004,Subsector,3.  Agriculture
F.  Field burning of agricultural residues,,NO,NO,,,,,,NO,NO,NO,,2004,Subsector,3.  Agriculture
G. Liming,1103.4092737867866,,,,,,,,,,,,2004,Subsector,3.  Agriculture
H. Urea application,223.85250706087876,,,,,,,,,,,,2004,Subsector,3.  Agriculture
