GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
Total national emissions and removals,465540.5457017914,2598.7697149938194,75.51051576550616,12134.882594745202,376.3728501496623,"NO,NE",0.02407621923136,2.096730672e-05,1167.8174763919958,1852.3804416713583,888.0472045021206,433.5803312251459,2011,Subsector,Indirect CO2
1. Energy,444736.9921027399,388.3650082760593,8.1545435465535,,,,,,1119.504713584049,1516.614709832531,309.3194679040838,404.9226223908754,2011,Subsector,Indirect CO2
A. Fuel combustion     Reference approach(2),434238.952342335,,,,,,,,,,,,2011,Subsector,Indirect CO2
                                           Sectoral approach(2),440283.7441703337,42.68038438296056,7.99133115019888,,,,,,1116.9136397137688,1497.9522271905712,132.10355348371934,384.9954559620573,2011,Subsector,Indirect CO2
1.  Energy industries,179177.2255325907,11.83909440434053,3.31635574553128,,,,,,318.9578230078736,96.99336588082737,4.80355311042735,235.0732685692131,2011,Subsector,Indirect CO2
2.  Manufacturing industries and construction                          ,47978.80297382681,2.81796849064034,0.66003769655693,,,,,,143.2158412244749,391.23401835639123,17.75058574388997,80.68177139570307,2011,Subsector,Indirect CO2
3.  Transport,119317.85760325509,6.70573481965464,3.30810558439639,,,,,,512.498505123535,678.3191252070693,79.57442584706811,26.8443780519387,2011,Subsector,Indirect CO2
4.  Other sectors,91055.78827252972,21.24539155185278,0.60769594348016,,,,,,119.51652509480945,325.4539055984045,28.86890686583916,37.71612310997727,2011,Subsector,Indirect CO2
5.  Other,2754.0697881313777,0.07219511647227,0.09913618023412,,,,,,22.72494526307603,5.95181214787883,1.10608191649473,4.67991483522516,2011,Subsector,Indirect CO2
B. Fugitive emissions from fuels,4453.247932406252,345.6846238930988,0.16321239635462,,,,,,2.59107387028005,18.66248264195961,177.2159144203645,19.92716642881813,2011,Subsector,Indirect CO2
1.  Solid fuels,379.7594148003237,97.97656749515417,0.00024556608,,,,,,0.29403928642222,8.95774769461173,25.00684549729704,19.50084042813651,2011,Subsector,Indirect CO2
2.  Oil and natural gas and other emissions from energy production,4073.488517605929,247.7080563979446,0.16296683027462,,,,,,2.29703458385783,9.70473494734788,152.20906892306746,0.42632600068162,2011,Subsector,Indirect CO2
C. CO2 Transport and storage,NO,,,,,,,,,,,,2011,Subsector,Indirect CO2
2.  Industrial processes and product use,24816.63723555793,4.54001504707675,3.9391828541004,12134.882594745202,376.3728501496623,"NO,NE",0.02407621923136,2.096730672e-05,15.60962039420985,245.55525782131028,453.9331356505939,27.76841901672743,2011,Subsector,Indirect CO2
A.  Mineral industry,6552.246417963199,,,,,,,,NO,1.62533661080951,1.09137066390765,6.663,2011,Subsector,Indirect CO2
B.  Chemical industry,4776.894442343906,3.67499357974853,0.67387299034228,70.04594,108.41141906156832,NO,NO,NO,5.085210949276,26.04529586605456,18.02895146195517,0.8657829319824,2011,Subsector,Indirect CO2
C.  Metal industry,12659.001736041087,0.61638917040375,0.03538765572037,2.6351,170.25530850660323,,0.0054750495,,8.6622792471462,205.44582765661414,2.30984408428195,15.32140834011276,2011,Subsector,Indirect CO2
D.  Non-energy products from fuels and solvent use ,828.4946392097361,"NO,IE","NO,NE,IE",,,,,,"NO,IE","NO,IE",336.21061372222607,1.36895614905698,2011,Subsector,Indirect CO2
E.  Electronic industry ,,,,25.81014805599336,"NO,NE,IE","NO,NE","NO,NE,IE",2.096730672e-05,,,,,2011,Subsector,Indirect CO2
F.  Product uses as substitutes for ODS,,,,12036.391406689208,NO,,,,,,,,2011,Subsector,Indirect CO2
G.  Other product manufacture and use ,NO,NO,3.22992220803775,,97.70612258149077,,0.01860116973136,,0.0874944,2.6783008,0.23526272,NO,2011,Subsector,Indirect CO2
H.  Other(3),"IE,NE,NO",0.24863229692447,NO,,,,,,1.77463579778765,9.76049688783206,96.05709299822303,3.54927159557529,2011,Subsector,Indirect CO2
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,2011,Subsector,Indirect CO2
