GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
Total national emissions and removals,569166.3775157833,5148.808197628839,134.66254722096738,15619.653424166467,533.2729159722217,"NO,NE",0.05493050010729,1.590983377e-05,2466.931322798303,6357.109303402183,2278.9814732653963,2541.2693488464533,1995,Subsector,CO2 captured
1. Energy,522914.2198673837,1154.9613538814494,12.52443099020078,,,,,,2385.687774274216,5651.666256358241,1361.5112569996504,2454.1052074012996,1995,Subsector,CO2 captured
A. Fuel combustion     Reference approach(2),515536.4486177543,,,,,,,,,,,,1995,Subsector,CO2 captured
                                           Sectoral approach(2),514573.0265494808,102.20755664106863,12.32081999447919,,,,,,2379.964128652382,5596.715261601438,855.3292567177601,2443.5959555294276,1995,Subsector,CO2 captured
1.  Energy industries,202492.538259512,10.48807616788907,3.99012748283123,,,,,,615.7880780289573,134.67045905834814,10.21875656223313,1793.5451254308716,1995,Subsector,CO2 captured
2.  Manufacturing industries and construction                          ,70344.6393880114,3.98586520658017,0.93770945883232,,,,,,309.79510768183025,459.0791260408815,27.93206681968697,310.535488660476,1995,Subsector,CO2 captured
3.  Transport,122840.36715227287,40.21141400104982,6.21935829397546,,,,,,1204.8040230222712,4212.872718388986,750.9588658028049,144.66909717039533,1995,Subsector,CO2 captured
4.  Other sectors,115002.34945380647,47.41981369698467,1.03364554664324,,,,,,219.16495723681024,781.6846393214034,64.64687188076024,186.43020655440395,1995,Subsector,CO2 captured
5.  Other,3893.13229587805,0.10238756856491,0.13997921219694,,,,,,30.411962682513,8.40831879181915,1.57269565227488,8.41603771328056,1995,Subsector,CO2 captured
B. Fugitive emissions from fuels,8341.1933179029,1052.7537972403807,0.20361099572159,,,,,,5.72364562183399,54.95099475680335,506.1820002818904,10.50925187187208,1995,Subsector,CO2 captured
1.  Solid fuels,737.4210967891712,602.5162563378652,9.8172e-05,,,,,,0.46402417027397,32.25426980682848,110.00951177178389,9.92666686506547,1995,Subsector,CO2 captured
2.  Oil and natural gas and other emissions from energy production,7603.772221113728,450.23754090251555,0.20351282372159,,,,,,5.25962145156002,22.69672494997487,396.17248851010646,0.58258500680661,1995,Subsector,CO2 captured
C. CO2 Transport and storage,NO,,,,,,,,,,,,1995,Subsector,CO2 captured
2.  Industrial processes and product use,42581.24896397609,9.67780179114274,50.04405327312988,15619.653424166467,533.2729159722217,"NO,NE",0.05493050010729,1.590983377e-05,37.53337511573667,638.7832115998926,785.2988429724239,82.30453840381739,1995,Subsector,CO2 captured
A.  Mineral industry,9263.281723540988,,,,,,,,NO,3.6302697592619,3.35278290905204,12.2013944934365,1995,Subsector,CO2 captured
B.  Chemical industry,7762.113615267349,7.19900957962818,47.96304206439326,14807.315483431361,104.34195860981733,NO,NO,NO,12.03439440632588,95.93555694854096,153.57580691058783,36.35870873080766,1995,Subsector,CO2 captured
C.  Metal industry,23989.84334057922,1.62637353410706,0.0703021204814,NO,299.84417160048,,0.01698125,,23.9273641653751,526.6967802998935,4.33313357008754,28.87278985534126,1995,Subsector,CO2 captured
D.  Non-energy products from fuels and solvent use ,1566.010284588537,"NO,IE","NO,NE,IE",,,,,,"NO,IE","NO,IE",532.9973850520828,2.0371770361606,1995,Subsector,CO2 captured
E.  Electronic industry ,,,,10.84376004090018,"NO,NE,IE","NO,NE","NO,NE,IE",1.590983377e-05,,,,,1995,Subsector,CO2 captured
F.  Product uses as substitutes for ODS,,,,801.4941806942048,0.46079419992882,,,,,,,,1995,Subsector,CO2 captured
G.  Other product manufacture and use ,NO,NO,2.01070908825522,,128.62599156199553,,0.03794925010729,,0.1543824,4.7258168,0.41511712,NO,1995,Subsector,CO2 captured
H.  Other(3),"IE,NE,NO",0.8524186774075,NO,,,,,,1.41723414403569,7.79478779219628,90.62461741061372,2.83446828807137,1995,Subsector,CO2 captured
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,1995,Subsector,CO2 captured
