GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
A.  Mineral industry,7965.099800860758,,,,,,,,NO,3.23658172117978,3.01507603723722,8.61213928289285,1993,Subsector,2.  Industrial processes and product use
B.  Chemical industry,7425.547412528549,9.0199110173254,53.10217161017811,13543.531817589494,40.13152254223736,NO,NO,NO,16.32915617595556,89.5647424590633,150.57415979467808,35.38585763247068,1993,Subsector,2.  Industrial processes and product use
C.  Metal industry,22471.20406027026,1.54417119849717,0.06689214313789,NO,399.0121039510152,,0.01698125,,21.9557514443748,502.6102025493424,4.12225496386753,27.15307234671474,1993,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,1696.2289540502811,"NO,IE","NO,NE,IE",,,,,,"NO,IE","NO,IE",579.0270141892868,1.83163201077086,1993,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,7.7287590579815,"NO,NE,IE","NO,NE","NO,NE,IE",1.133954194e-05,,,,,1993,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,213.42515156080225,NO,,,,,,,,1993,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,NO,NO,2.01284855845658,,99.55721998290115,,0.03400225085002,,0.1847574,5.6556293,0.49679212,NO,1993,Subsector,2.  Industrial processes and product use
H.  Other(3),"IE,NE,NO",0.75997732759405,NO,,,,,,1.41321171978582,7.77266445882202,89.33955899398244,2.82642343957164,1993,Subsector,2.  Industrial processes and product use
