GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2 (kt),CH4,N2O,HFCs (1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
3.  Agriculture,1552.7881232073594,1018.5164470870818,52.01305490264079,,,,,,27.56756564868747,"NO,NE,NA",114.88867716526923,NO,2008,Subsector,CO2 emissions from biomass
A.  Enteric fermentation,,857.4646850132028,,,,,,,,,,,2008,Subsector,CO2 emissions from biomass
B.  Manure management,,151.5976892257229,9.96949475693288,,,,,,,,73.1974279107859,,2008,Subsector,CO2 emissions from biomass
C.  Rice cultivation,,NO,,,,,,,,,NO,,2008,Subsector,CO2 emissions from biomass
D.  Agricultural soils,,NE,41.61939160327524,,,,,,25.87149100308376,NE,41.69124925448332,,2008,Subsector,CO2 emissions from biomass
E.  Prescribed burning of savannas,,NO,NO,,,,,,NO,NO,NO,,2008,Subsector,CO2 emissions from biomass
F.  Field burning of agricultural residues,,NO,NO,,,,,,NO,NO,NO,,2008,Subsector,CO2 emissions from biomass
G. Liming,1387.7286215308513,,,,,,,,,,,,2008,Subsector,CO2 emissions from biomass
H. Urea application,161.9528722495344,,,,,,,,,,,,2008,Subsector,CO2 emissions from biomass
I.  Other carbon-contining fertilizers,NO,,,,,,,,,,,,2008,Subsector,CO2 emissions from biomass
J.  Other ,3.10662942697365,9.45407284815604,0.42416854243267,,,,,,1.69607464560371,"NO,NE,NA","NO,NE,NA",NO,2008,Subsector,CO2 emissions from biomass
"4.  Land use, land-use change and forestry  (4)",-5130.821460931492,199.06808980874484,5.49680129312228,,,,,,1.11577311691245,34.75086073779361,NO,NO,2008,Subsector,CO2 emissions from biomass
A. Forest land (4),-19435.14186045025,4.11703546672643,1.64277764715301,,,,,,0.21417937252827,7.73355710217986,NO,,2008,Subsector,CO2 emissions from biomass
B. Cropland (4),13027.384401618478,11.56481723819961,1.56019384230293,,,,,,0.00070447061144,0.02592451850099,NO,,2008,Subsector,CO2 emissions from biomass
C. Grassland (4),-1241.0570864529263,99.00670381627914,0.10205070471242,,,,,,0.72174339926711,20.60184292641167,NO,,2008,Subsector,CO2 emissions from biomass
D. Wetlands (4),601.3358146984801,83.68014600543235,0.07468017626919,,,,,,0.06833354842871,2.43722989395745,NO,,2008,Subsector,CO2 emissions from biomass
E. Settlements (4),3890.2170794145113,0.17360597752052,1.03804175525269,,,,,,0.11081232607692,3.95230629674364,NO,,2008,Subsector,CO2 emissions from biomass
F. Other land (4),NO,NO,NO,,,,,,NO,NO,NO,,2008,Subsector,CO2 emissions from biomass
G. Harvested wood products ,-1973.559809759785,,,,,,,,,,,,2008,Subsector,CO2 emissions from biomass
H. Other  (4),"NO,IE",0.52578130458678,0.3945713610011,,,,,,NO,NO,NO,NO,2008,Subsector,CO2 emissions from biomass
5.  Waste,400.74986468622586,1423.1785408570554,4.50953840008421,,,,,,1.88256915899846,31.74677816961172,12.97826957170181,0.82713286137178,2008,Subsector,CO2 emissions from biomass
A.  Solid waste disposal (5),"NO,NE",1323.3834881369344,,,,,,,"NO,NE","NO,NE",5.06080617622739,,2008,Subsector,CO2 emissions from biomass
B.  Biological treatment of solid waste (5),,19.56309548277321,1.15808722292908,,,,,,NE,NE,NE,,2008,Subsector,CO2 emissions from biomass
C.  Incineration and open burning of waste (5),400.74986468622586,2.5080956985053,0.2577614021768,,,,,,1.88256915899846,31.74677816961172,7.41443278944936,0.82713286137178,2008,Subsector,CO2 emissions from biomass
D.  Wastewater treatment and discharge,,77.72386153884258,3.09368977497833,,,,,,"NO,NE","NO,NE",0.50303060602506,,2008,Subsector,CO2 emissions from biomass
E.  Other (5),NO,NO,NO,,,,,,NO,NO,NO,NO,2008,Subsector,CO2 emissions from biomass
6.  Other   (please specify)(6),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2008,Subsector,CO2 emissions from biomass
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,2008,Subsector,CO2 emissions from biomass
