GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
Total national emissions and removals,394833.8305490154,2176.2411266065988,74.01543319186187,13359.726126137777,267.2317828235167,NO,0.01907751794551,2.096730672e-05,924.9503772344635,1441.4037360379505,808.0419140157691,198.38729890402527,2016,Subsector,CO2 captured
1. Energy,375956.3334537399,267.5684148820002,7.97942301700532,,,,,,880.2439422414975,1159.5413016329937,216.50626426428477,177.23422847282737,2016,Subsector,CO2 captured
A. Fuel combustion     Reference approach(2),372276.4634470655,,,,,,,,,,,,2016,Subsector,CO2 captured
                                           Sectoral approach(2),371398.3620202012,45.41513734105338,7.8560690064118,,,,,,878.0045710488271,1138.3953885446742,94.4493445827629,161.68095134661,2016,Subsector,CO2 captured
1.  Energy industries,111623.03405732426,14.12576858989607,2.54743046966084,,,,,,194.907520076199,72.71954121720881,3.95925517871324,66.80367613978278,2016,Subsector,CO2 captured
2.  Manufacturing industries and construction                          ,42444.10024794802,3.63859960837871,0.71988118612946,,,,,,130.6675097526663,370.22914075522226,16.21016121899918,44.77728136698408,2016,Subsector,CO2 captured
3.  Transport,124200.48072972012,4.29413913087488,3.88674001315878,,,,,,430.7701281354354,365.42615547665645,45.14541291782288,13.86495336385293,2016,Subsector,CO2 captured
4.  Other sectors,91583.27144632538,23.3158151676057,0.64707495532378,,,,,,109.1916926408023,326.6763850497777,28.5204074932058,34.75571758627828,2016,Subsector,CO2 captured
5.  Other,1547.475538883465,0.04081484429802,0.05494238213894,,,,,,12.46772044372401,3.34416604580903,0.61410777402181,1.47932288971191,2016,Subsector,CO2 captured
B. Fugitive emissions from fuels,4557.971433538639,222.1532775409468,0.12335401059352,,,,,,2.23937119267043,21.14591308831952,122.05691968152185,15.55327712621738,2016,Subsector,CO2 captured
1.  Solid fuels,349.000939350977,20.26299947312328,6.590808e-05,,,,,,0.0927053502,10.97410499090933,1.43299567965585,15.14132215094574,2016,Subsector,CO2 captured
2.  Oil and natural gas and other emissions from energy production,4208.970494187662,201.89027806782352,0.12328810251352,,,,,,2.14666584247043,10.17180809741019,120.623924001866,0.41195497527164,2016,Subsector,CO2 captured
C. CO2 Transport and storage,NO,,,,,,,,,,,,2016,Subsector,CO2 captured
2.  Industrial processes and product use,22988.30675371613,3.70016644719673,2.91422849892715,13359.726126137777,267.2317828235167,NO,0.01907751794551,2.096730672e-05,13.35057831461781,210.5574687015492,457.9194194561813,20.44773591990355,2016,Subsector,CO2 captured
A.  Mineral industry,6442.683099813368,,,,,,,,NO,1.91156848278431,1.05918235104946,5.518,2016,Subsector,CO2 captured
B.  Chemical industry,4666.93409514041,2.97589747491305,0.08919391436513,1.984,168.837455915557,NO,NO,NO,4.36168975117024,20.82285516031737,14.02139463281403,1.42769058703604,2016,Subsector,CO2 captured
C.  Metal industry,11329.297413733699,0.48459419701526,0.02548710122153,2.00122,12.83507443559186,,0.00319485,,7.76956424346803,179.45630615240728,1.95363407882296,9.72347708682211,2016,Subsector,CO2 captured
D.  Non-energy products from fuels and solvent use ,549.3921450286517,"NO,IE","NO,NE,IE",,,,,,"NO,IE","NO,IE",333.5341960297516,1.4721682460454,2016,Subsector,CO2 captured
E.  Electronic industry ,,,,24.50123146498609,"NO,NE,IE",NO,"NO,IE",2.096730672e-05,,,,,2016,Subsector,CO2 captured
F.  Product uses as substitutes for ODS,,,,13331.23967467279,NO,,,,,,,,2016,Subsector,CO2 captured
G.  Other product manufacture and use ,NO,NO,2.79954748334049,,85.55925247236787,,0.01588266794551,,0.06612431997954,2.02413890604026,0.17780094927831,NO,2016,Subsector,CO2 captured
H.  Other(3),"NO,NE,IE",0.23967477526842,NO,,,,,,1.1532,6.3426,107.17321141446492,2.3064,2016,Subsector,CO2 captured
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,2016,Subsector,CO2 captured
